时间戳id,来源,日期,信息,是否异常
<font color=#ff7a2e>1117838570</font>,<font color=#ff7a2e>R02-M1-N0-C:J12-U11</font>,<font color=#ff7a2e>2005-06-03-15.42.50.363779</font>,<font color=#ff7a2e>KERNEL INFO instruction cache parity error corrected</font>,<font color=#ff7a2e>是</font>
<font color=#11b3ff>1117838570</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.50.527847</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838570</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.50.675872</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838570</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.50.823719</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838570</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.50.982731</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838571</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.51.131467</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838571</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.51.293532</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838571</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.51.428563</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#ff7a2e>1117838571</font>,<font color=#ff7a2e>R02-M1-N0-C:J12-U11</font>,<font color=#ff7a2e>2005-06-03-15.42.51.601412</font>,<font color=#ff7a2e>KERNEL INFO instruction cache parity error corrected</font>,<font color=#ff7a2e>是</font>
<font color=#11b3ff>1117838571</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.51.749199</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838571</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.51.885834</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838572</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.52.041388</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838572</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.52.199063</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#11b3ff>1117838572</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.52.345821</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
<font color=#ff7a2e>1117838572</font>,<font color=#ff7a2e>R02-M1-N0-C:J12-U11</font>,<font color=#ff7a2e>2005-06-03-15.42.52.493353</font>,<font color=#ff7a2e>KERNEL INFO instruction cache parity error corrected</font>,<font color=#ff7a2e>是</font>
<font color=#11b3ff>1117838572</font>,<font color=#11b3ff>R02-M1-N0-C:J12-U11</font>,<font color=#11b3ff>2005-06-03-15.42.52.638135</font>,<font color=#11b3ff>KERNEL INFO instruction cache parity error corrected</font>,<font color=#11b3ff>否</font>
