Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Label
53,23632,1,1,69,85,69.0,85.0,6516.587678,84.6310088,BENIGN
2601,73,1,1,0,6,0.0,6.0,82191.78082,27397.26027,PortScan
53,30777,4,2,132,122,33.0,61.0,8252.916139,194.9507749,BENIGN
443,177231,15,15,855,21887,57.0,1459.133333,128318.4093,169.2706129,BENIGN
1093,44,1,1,2,6,2.0,6.0,181818.1818,45454.54545,PortScan
21,9494989,9,15,102,188,11.33333333,12.53333333,30.54242612,2.527649058,FTP-Patator
80,78454706,8,6,56,11601,7.0,1933.5,148.5825465,0.178446912,DDoS
80,100052,3,5,26,11601,8.666666667,2320.2,116209.571,79.95842162,DDoS
21,221,2,1,14,0,7.0,0.0,63348.41629,13574.66063,FTP-Patator
21,8337029,9,15,131,188,14.55555556,12.53333333,38.26303111,2.878723344,FTP-Patator
80,46288,3,4,26,11601,8.666666667,2900.25,251188.2129,151.2270999,DDoS
9091,43,1,1,2,6,2.0,6.0,186046.5116,46511.62791,PortScan
80,75015201,8,6,56,11607,7.0,1934.5,155.475155,0.186628841,DDoS
80,6062830,4,0,24,0,6.0,0.0,3.958547411,0.659757902,DDoS
21,8897407,9,15,125,188,13.88888889,12.53333333,35.17878861,2.697415101,FTP-Patator
1080,47,1,1,0,6,0.0,6.0,127659.5745,42553.19149,PortScan
21,16,2,0,14,0,7.0,0.0,875000.0,125000.0,FTP-Patator
80,5214928,3,1,0,0,0.0,0.0,0.0,0.767028807,BENIGN
80,62620,3,4,26,11601,8.666666667,2900.25,185675.503,111.7853721,DDoS
22,76,1,1,0,0,0.0,0.0,0.0,26315.78947,SSH-Patator
1095,15,1,1,0,6,0.0,6.0,400000.0,133333.3333,PortScan
22,13124920,21,32,2008,2745,95.61904762,85.78125,362.1355406,4.038119851,SSH-Patator
21,258,2,1,14,0,7.0,0.0,54263.56589,11627.90698,FTP-Patator
80,1208182,3,4,26,11607,8.666666667,2901.75,9628.516233,5.793829075,DDoS
21,9068990,9,15,119,188,13.22222222,12.53333333,33.85161964,2.646380688,FTP-Patator
80,506556,4,0,24,0,6.0,0.0,47.37876957,7.896461596,DDoS
53,246075,4,2,128,210,32.0,105.0,1373.56497,24.38281012,BENIGN
53,5080665,2,2,138,238,69.0,119.0,74.00606023,0.787298513,BENIGN
80,71721129,8,4,56,11601,7.0,2900.25,162.5322992,0.167314711,DDoS
8977,18,1,1,6,6,6.0,6.0,666666.6667,111111.1111,BENIGN
22,12933888,22,33,2008,2745,91.27272727,83.18181818,367.4842399,4.252394949,SSH-Patator
53,23891,1,1,46,128,46.0,128.0,7283.077309,83.71353229,BENIGN
22,109,1,1,0,0,0.0,0.0,0.0,18348.62385,SSH-Patator
80,1993976,5,0,30,0,6.0,0.0,15.04531649,2.507552749,DDoS
3920,44,1,1,2,6,2.0,6.0,181818.1818,45454.54545,PortScan
12174,75,1,1,2,6,2.0,6.0,106666.6667,26666.66667,PortScan
80,1402911,3,5,26,11607,8.666666667,2321.4,8292.044185,5.702428736,DDoS
22,13384937,21,32,2008,2745,95.61904762,85.78125,355.1006628,3.959674969,SSH-Patator
53,30742,4,2,184,262,46.0,131.0,14507.83944,195.1727279,BENIGN
53,261,2,2,60,344,30.0,172.0,1547892.72,15325.6705,BENIGN
