Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Label
54865,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
55054,109,1,1,6,6,6.0,6.0,110091.7431,18348.62385,BENIGN
55055,52,1,1,6,6,6.0,6.0,230769.2308,38461.53846,BENIGN
46236,34,1,1,6,6,6.0,6.0,352941.1765,58823.52941,BENIGN
54863,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
54871,1022,2,0,12,0,6.0,0.0,11741.68297,1956.947162,BENIGN
54925,4,2,0,12,0,6.0,0.0,3000000.0,500000.0,BENIGN
54925,42,1,1,6,6,6.0,6.0,285714.2857,47619.04762,BENIGN
9282,4,2,0,12,0,6.0,0.0,3000000.0,500000.0,BENIGN
55153,4,2,0,37,0,18.5,0.0,9250000.0,500000.0,BENIGN
55143,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
55144,1,2,0,37,0,18.5,0.0,37000000.0,2000000.0,BENIGN
55145,4,2,0,37,0,18.5,0.0,9250000.0,500000.0,BENIGN
55254,3,3,0,43,0,14.33333333,0.0,14300000.0,1000000.0,BENIGN
36206,54,1,1,0,0,0.0,0.0,0.0,37037.03704,BENIGN
53524,1,2,0,0,0,0.0,0.0,0.0,2000000.0,BENIGN
53524,154,1,1,0,0,0.0,0.0,0.0,12987.01299,BENIGN
53526,1,2,0,0,0,0.0,0.0,0.0,2000000.0,BENIGN
53526,118,1,1,0,0,0.0,0.0,0.0,16949.15254,BENIGN
53527,239,1,1,0,0,0.0,0.0,0.0,8368.200837,BENIGN
53528,1,3,0,0,0,0.0,0.0,0.0,3000000.0,BENIGN
53527,1,2,0,0,0,0.0,0.0,0.0,2000000.0,BENIGN
55035,4,2,0,248,0,124.0,0.0,62000000.0,500000.0,BENIGN
55275,5,3,0,254,0,84.66666667,0.0,50800000.0,600000.0,BENIGN
55277,4,2,0,12,0,6.0,0.0,3000000.0,500000.0,BENIGN
8850,4,3,0,43,0,14.33333333,0.0,10800000.0,750000.0,BENIGN
43248,54,1,1,0,0,0.0,0.0,0.0,37037.03704,BENIGN
8678,42,3,0,43,0,14.33333333,0.0,1023809.524,71428.57143,BENIGN
55063,4,2,0,37,0,18.5,0.0,9250000.0,500000.0,BENIGN
55203,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
55140,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
55180,737,2,1,37,6,18.5,6.0,58344.64043,4070.556309,BENIGN
55156,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
55096,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
55085,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
8689,276,3,0,43,0,14.33333333,0.0,155797.1014,10869.56522,BENIGN
8817,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
8816,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
8886,1,2,0,12,0,6.0,0.0,12000000.0,2000000.0,BENIGN
60350,105,1,1,6,6,6.0,6.0,114285.7143,19047.61905,BENIGN
60346,66,1,1,6,6,6.0,6.0,181818.1818,30303.0303,BENIGN
60352,68,1,1,6,6,6.0,6.0,176470.5882,29411.76471,BENIGN
8833,48,2,0,12,0,6.0,0.0,250000.0,41666.66667,BENIGN
9331,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
9175,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
8693,16,1,1,6,6,6.0,6.0,750000.0,125000.0,BENIGN
8695,63,1,1,6,6,6.0,6.0,190476.1905,31746.03175,BENIGN
8690,17,1,1,6,6,6.0,6.0,705882.3529,117647.0588,BENIGN
8694,123,1,1,6,6,6.0,6.0,97560.97561,16260.1626,BENIGN
57683,4,2,0,12,0,6.0,0.0,3000000.0,500000.0,BENIGN
57662,4,2,0,12,0,6.0,0.0,3000000.0,500000.0,BENIGN
54864,49,2,0,12,0,6.0,0.0,244897.9592,40816.32653,BENIGN
57680,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
60954,46,1,1,0,0,0.0,0.0,0.0,43478.26087,BENIGN
57681,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
55270,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
55271,251170,3,0,18,0,6.0,0.0,71.66460963,11.9441016,BENIGN
57674,49,2,0,12,0,6.0,0.0,244897.9592,40816.32653,BENIGN
50485,62,1,1,0,0,0.0,0.0,0.0,32258.06452,BENIGN
57686,175,2,1,12,6,6.0,6.0,102857.1429,17142.85714,BENIGN
33666,37,1,1,0,0,0.0,0.0,0.0,54054.05405,BENIGN
8883,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
8884,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
55245,96,1,1,6,6,6.0,6.0,125000.0,20833.33333,BENIGN
55150,1,2,0,12,0,6.0,0.0,12000000.0,2000000.0,BENIGN
55040,48,2,0,12,0,6.0,0.0,250000.0,41666.66667,BENIGN
55039,1,2,0,12,0,6.0,0.0,12000000.0,2000000.0,BENIGN
55043,999588,2,0,12,0,6.0,0.0,12.00494604,2.00082434,BENIGN
55039,75,1,1,6,6,6.0,6.0,160000.0,26666.66667,BENIGN
55040,32,1,1,6,6,6.0,6.0,375000.0,62500.0,BENIGN
53,71693,2,2,74,176,37.0,88.0,3487.09079,55.79345264,BENIGN
53,60738,2,2,74,200,37.0,100.0,4511.179163,65.85663012,BENIGN
21,126188,20,25,176,440,8.8,17.6,4881.605224,356.6107712,BENIGN
34805,8003,15,6,19897,0,1326.466667,0.0,2486192.678,2624.015994,BENIGN
34805,1,2,0,617,0,308.5,0.0,617000000.0,2000000.0,BENIGN
21,50,1,2,0,0,0.0,0.0,0.0,60000.0,BENIGN
139,75,3,1,4,4,1.333333333,4.0,106666.6667,53333.33333,BENIGN
443,208,4,0,46,0,11.5,0.0,221153.8462,19230.76923,BENIGN
443,514004,3,1,0,6,0.0,6.0,11.67306091,7.782040607,BENIGN
80,60130920,5,3,216,1533,43.2,511.0,29.08653318,0.133043033,BENIGN
80,60130912,5,3,213,1619,42.6,539.6666667,30.46685871,0.133043051,BENIGN
443,3895966,5,1,135,46,27.0,46.0,46.45831098,1.540054508,BENIGN
443,3895242,5,1,135,46,27.0,46.0,46.46694608,1.540340754,BENIGN
443,3896308,5,1,135,46,27.0,46.0,46.45423308,1.539919329,BENIGN
443,3895052,5,1,135,46,27.0,46.0,46.46921273,1.540415892,BENIGN
443,3896461,5,1,135,46,27.0,46.0,46.45240899,1.539858862,BENIGN
53,31020664,8,4,372,452,46.5,113.0,26.56293882,0.386838915,BENIGN
53,83718,4,2,184,300,46.0,150.0,5781.313457,71.66917509,BENIGN
445,10706606,29,24,8142,4220,280.7586207,175.8333333,1154.614263,4.950214849,BENIGN
80,60166984,6,4,237,4593,39.5,1148.25,80.27658491,0.16620411,BENIGN
53,24027,2,2,68,100,34.0,50.0,6992.133849,166.4793774,BENIGN
8080,1029807,3,3,0,18,0.0,6.0,17.47900335,5.826334449,BENIGN
80,2979847,2,1,0,0,0.0,0.0,0.0,1.006763099,BENIGN
80,28315,1,1,6,6,6.0,6.0,423.8036376,70.63393961,BENIGN
80,28466,1,1,6,6,6.0,6.0,421.5555399,70.25925666,BENIGN
443,101027175,14,12,1029,991,73.5,82.58333333,19.99462026,0.257356498,BENIGN
