Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Label
50831,9202939,1,5,6,30,6.0,6.0,3.91179383,0.651965638,BENIGN
443,60906318,14,16,1135,4292,81.07142857,268.25,89.1040565,0.492559737,BENIGN
53,89031,1,1,58,143,58.0,143.0,2257.640597,22.46408554,BENIGN
53,820,2,2,86,198,43.0,99.0,346341.4634,4878.04878,BENIGN
53,206,2,2,64,204,32.0,102.0,1300970.874,19417.47573,BENIGN
53,50624,1,1,44,204,44.0,204.0,4898.8622,39.50695322,BENIGN
54096,8,1,1,0,0,0.0,0.0,0.0,250000.0,BENIGN
53,187,2,2,78,358,39.0,179.0,2331550.802,21390.37433,BENIGN
443,173,2,0,12,0,6.0,0.0,69364.16185,11560.69364,BENIGN
35670,2070977,1,5,6,30,6.0,6.0,17.38309986,2.89718331,BENIGN
443,63545087,7,2,187,92,26.71428571,46.0,4.390583335,0.14163172,BENIGN
53,73124608,2,2,102,130,51.0,65.0,3.17266658,0.054701148,BENIGN
53,64371,4,2,156,134,39.0,67.0,4505.1343,93.20967516,BENIGN
53,60848,1,1,58,114,58.0,114.0,2826.715751,32.8687878,BENIGN
6757,957,3,0,18,0,6.0,0.0,18808.77743,3134.796238,BENIGN
80,603592,3,4,436,872,145.3333333,218.0,2167.026733,11.59723787,BENIGN
55391,199,3,1,253,6,84.33333333,6.0,1301507.538,20100.50251,BENIGN
53,47488,2,2,98,234,49.0,117.0,6991.239892,84.23180593,BENIGN
41736,22,1,1,0,0,0.0,0.0,0.0,90909.09091,BENIGN
56960,39,1,1,6,6,6.0,6.0,307692.3077,51282.05128,BENIGN
443,11657889,14,14,997,7908,71.21428571,564.8571429,763.860421,2.401807051,BENIGN
80,20690,2,0,12,0,6.0,0.0,579.9903335,96.66505558,BENIGN
53,30703,2,2,86,148,43.0,74.0,7621.405074,130.2804286,BENIGN
53,31038,1,1,48,108,48.0,108.0,5026.097042,64.43714157,BENIGN
443,4,2,0,31,0,15.5,0.0,7750000.0,500000.0,BENIGN
443,119220669,62,81,3339,119399,53.85483871,1474.061728,1029.502695,1.199456447,BENIGN
53,337219,1,1,55,137,55.0,137.0,569.3629363,5.930863919,BENIGN
53,174,2,2,102,134,51.0,67.0,1356321.839,22988.50575,BENIGN
443,425,3,0,43,0,14.33333333,0.0,101176.4706,7058.823529,BENIGN
57664,4,3,0,31,0,10.33333333,0.0,7750000.0,750000.0,BENIGN
53,190,2,2,74,286,37.0,143.0,1894736.842,21052.63158,BENIGN
58379,94698006,7,9,11607,62,1658.142857,6.888888889,123.2232915,0.168958151,BENIGN
80,5328272,3,1,12,0,4.0,0.0,2.252137278,0.750712426,BENIGN
53780,71330568,7,10,11613,68,1659.0,6.8,163.7586848,0.238326996,BENIGN
54236,57,1,1,6,6,6.0,6.0,210526.3158,35087.7193,BENIGN
53,170,2,2,64,96,32.0,48.0,941176.4706,23529.41176,BENIGN
53,179,2,2,76,140,38.0,70.0,1206703.911,22346.36872,BENIGN
53,2393083,2,2,94,176,47.0,88.0,112.8251715,1.671484023,BENIGN
80,115599039,18,15,588,768,32.66666667,51.2,11.73020132,0.285469501,BENIGN
443,117898028,13,12,626,4311,48.15384615,359.25,41.8751703,0.212047652,BENIGN
80,86679,3,2,431,110,143.6666667,55.0,6241.41949,57.6840988,BENIGN
54370,277,2,0,12,0,6.0,0.0,43321.29964,7220.216606,BENIGN
39534,219,3,1,31,6,10.33333333,6.0,168949.7717,18264.84018,BENIGN
53,200,2,2,70,326,35.0,163.0,1980000.0,20000.0,BENIGN
443,117219058,14,12,918,5366,65.57142857,447.1666667,53.60903003,0.221806935,BENIGN
80,419266,3,4,690,421,230.0,105.25,2649.869057,16.69584464,BENIGN
389,200,2,2,330,330,165.0,165.0,3300000.0,20000.0,BENIGN
52751,96,1,1,0,0,0.0,0.0,0.0,20833.33333,BENIGN
53,23369,1,1,93,175,93.0,175.0,11468.18435,85.58346527,BENIGN
443,77041600,17,15,2052,4094,120.7058824,272.9333333,79.77508255,0.415360013,BENIGN
59516,255,2,0,37,0,18.5,0.0,145098.0392,7843.137255,BENIGN
53,198,2,2,110,174,55.0,87.0,1434343.434,20202.0202,BENIGN
443,1731792,8,8,724,5085,90.5,635.625,3354.328926,9.23898482,BENIGN
443,32363,2,1,12,6,6.0,6.0,556.1907116,92.69845194,BENIGN
8938,2,1,2,0,0,0.0,0.0,0.0,1500000.0,BENIGN
443,3,2,0,0,0,0.0,0.0,0.0,666666.6667,BENIGN
443,867371,9,12,703,13392,78.11111111,1116.0,16250.25508,24.21109306,BENIGN
53,279,2,2,82,254,41.0,127.0,1204301.075,14336.91756,BENIGN
53,71704,2,2,74,190,37.0,95.0,3681.802968,55.78489345,BENIGN
443,197560,44,56,1313,105841,29.84090909,1890.017857,542387.1229,506.1753391,BENIGN
53,50762,2,2,72,146,36.0,73.0,4294.551042,78.79910169,BENIGN
52890,115834,2,1,0,0,0.0,0.0,0.0,25.89913152,BENIGN
53,30815,2,2,94,268,47.0,134.0,11747.52556,129.8069122,BENIGN
53,273376,4,4,120,528,30.0,132.0,2370.3617,29.26372469,BENIGN
53,61000,2,2,72,234,36.0,117.0,5016.393443,65.57377049,BENIGN
21,183384,18,25,176,440,9.777777778,17.6,3359.071675,234.4806526,BENIGN
50676,1340313,6,2,11607,26,1934.5,13.0,8679.315951,5.968755059,BENIGN
53,181,2,2,90,222,45.0,111.0,1723756.906,22099.44751,BENIGN
22015,10039111,1,6,6,36,6.0,6.0,4.183637376,0.697272896,BENIGN
80,6393502,3,1,0,0,0.0,0.0,0.0,0.625635215,BENIGN
53,11470856,10,2,460,92,46.0,46.0,48.12195358,1.046129426,BENIGN
443,115969140,48,64,14273,6025,297.3541667,94.140625,175.0293225,0.965774171,BENIGN
56893,49,1,2,0,0,0.0,0.0,0.0,61224.4898,BENIGN
3650,3,2,0,31,0,15.5,0.0,10300000.0,666666.6667,BENIGN
53,23824,1,1,51,113,51.0,113.0,6883.814641,83.94895903,BENIGN
49339,4,2,0,124,0,62.0,0.0,31000000.0,500000.0,BENIGN
443,5147775,6,7,1188,609,198.0,87.0,349.0828562,2.5253629,BENIGN
53,187,2,2,66,194,33.0,97.0,1390374.332,21390.37433,BENIGN
53,206,2,2,96,128,48.0,64.0,1087378.641,19417.47573,BENIGN
53,180582,2,2,74,276,37.0,138.0,1938.17767,22.15060194,BENIGN
60584,47,1,1,0,0,0.0,0.0,0.0,42553.19149,BENIGN
49953,1057494,1,7,6,42,6.0,6.0,45.39032846,7.565054743,BENIGN
55928,696,2,0,12,0,6.0,0.0,17241.37931,2873.563218,BENIGN
80,34087678,7,7,420,1767,60.0,252.4285714,64.15808082,0.410705593,BENIGN
443,5682513,8,6,378,4875,47.25,812.5,924.4149551,2.463698719,BENIGN
53,31297,1,1,44,122,44.0,122.0,5304.02275,63.90388855,BENIGN
53,267,2,2,142,242,71.0,121.0,1438202.247,14981.27341,BENIGN
80,5288678,4,2,0,0,0.0,0.0,0.0,1.134499018,BENIGN
53,30862,4,2,136,182,34.0,91.0,10303.93364,194.4138423,BENIGN
53,152,2,2,46,46,23.0,23.0,605263.1579,26315.78947,BENIGN
80,115643918,37,26,5806,10360,156.9189189,398.4615385,139.7911821,0.544775731,BENIGN
53,174,2,2,60,264,30.0,132.0,1862068.966,22988.50575,BENIGN
53,280,2,2,60,168,30.0,84.0,814285.7143,14285.71429,BENIGN
53,169,2,2,64,120,32.0,60.0,1088757.396,23668.63905,BENIGN
80,113663847,13,11,0,0,0.0,0.0,0.0,0.211148933,BENIGN
443,3,2,0,12,0,6.0,0.0,4000000.0,666666.6667,BENIGN
80,70,2,0,12,0,6.0,0.0,171428.5714,28571.42857,BENIGN
80,433016,3,4,604,931,201.3333333,232.75,3544.903653,16.16568441,BENIGN
62891,81839944,6,9,12982,56,2163.666667,6.222222222,159.3109595,0.183284583,BENIGN
53,109689,4,4,160,404,40.0,101.0,5141.810027,72.93347555,BENIGN
53,47390,1,1,55,120,55.0,120.0,3692.762186,42.20299641,BENIGN
443,15828454,40,55,2417,97490,60.425,1772.545455,6311.860906,6.001849581,BENIGN
80,81,2,0,12,0,6.0,0.0,148148.1481,24691.35802,BENIGN
443,142443,47,55,1325,101497,28.19148936,1845.4,721846.6334,716.075904,BENIGN
53,356626,4,2,124,182,31.0,91.0,858.041758,16.8243482,BENIGN
53,164213,2,2,64,198,32.0,99.0,1595.488786,24.35860742,BENIGN
80,65173187,38,51,372,84756,9.789473684,1661.882353,1306.181329,1.365592264,BENIGN
0,117845238,292,0,0,0,0.0,0.0,0.0,2.477826045,BENIGN
53,30814,2,2,68,158,34.0,79.0,7334.328552,129.8111248,BENIGN
22,173,1,1,6,6,6.0,6.0,69364.16185,11560.69364,BENIGN
53,30273,1,1,55,111,55.0,111.0,5483.434083,66.06547088,BENIGN
9849,8,1,1,6,6,6.0,6.0,1500000.0,250000.0,BENIGN
53,142611,4,2,132,246,33.0,123.0,2650.566927,42.0724909,BENIGN
53,23446,1,1,47,91,47.0,91.0,5885.865393,85.302397,BENIGN
80,243239,3,2,486,278,162.0,139.0,3140.943681,20.55591414,BENIGN
443,97212,12,7,745,2393,62.08333333,341.8571429,32279.96544,195.4491215,BENIGN
53,30566,1,1,47,63,47.0,63.0,3598.769875,65.43217955,BENIGN
53,173,2,2,80,336,40.0,168.0,2404624.277,23121.38728,BENIGN
53,147,2,2,88,188,44.0,94.0,1877551.02,27210.88435,BENIGN
53,274,2,2,66,534,33.0,267.0,2189781.022,14598.54015,BENIGN
14393,8045607,1,5,6,30,6.0,6.0,4.474491483,0.745748581,BENIGN
51179,6045526,1,5,6,30,6.0,6.0,5.954816835,0.992469472,BENIGN
80,116521189,19,16,1311,2388,69.0,149.25,31.74529913,0.300374552,BENIGN
53,24153,2,2,68,100,34.0,50.0,6955.657682,165.6108972,BENIGN
443,5754981,10,7,386,5133,38.6,733.2857143,958.9953468,2.953962837,BENIGN
443,10112055,11,9,3636,5857,330.5454545,650.7777778,938.7804952,1.977837344,BENIGN
53,187,2,2,66,164,33.0,82.0,1229946.524,21390.37433,BENIGN
80,6012386,3,1,0,0,0.0,0.0,0.0,0.66529328,BENIGN
42045,7114116,1,5,6,30,6.0,6.0,5.060361681,0.843393613,BENIGN
53,348,2,2,66,218,33.0,109.0,816091.954,11494.25287,BENIGN
53,206,2,2,84,116,42.0,58.0,970873.7864,19417.47573,BENIGN
10246,6,5,0,420,0,84.0,0.0,70000000.0,833333.3333,BENIGN
59800,103,1,1,0,0,0.0,0.0,0.0,19417.47573,BENIGN
443,119762023,44,56,1340,80453,30.45454545,1436.660714,682.9627452,0.834989235,BENIGN
51546,67,2,1,0,0,0.0,0.0,0.0,44776.1194,BENIGN
443,10981052,8,9,1038,1024,129.75,113.7777778,187.7780016,1.548121255,BENIGN
53,55467,2,2,66,224,33.0,112.0,5228.333964,72.11495123,BENIGN
53,60089,1,1,54,110,54.0,110.0,2729.284894,33.28396212,BENIGN
59241,468,1,1,0,0,0.0,0.0,0.0,4273.504274,BENIGN
59229,104,1,1,6,6,6.0,6.0,115384.6154,19230.76923,BENIGN
123,61134,1,1,48,48,48.0,48.0,1570.320934,32.71501947,BENIGN
53,48224,2,2,90,226,45.0,113.0,6552.753816,82.94625083,BENIGN
53,30929,1,1,49,65,49.0,65.0,3685.861166,64.66423098,BENIGN
443,111958775,50,76,16867,7945,337.34,104.5394737,221.6172873,1.125414243,BENIGN
53,23477,1,1,81,145,81.0,145.0,9626.442902,85.18976019,BENIGN
53,4098656,2,2,106,154,53.0,77.0,63.43542859,0.975929671,BENIGN
53,71746,2,2,72,256,36.0,128.0,4571.683439,55.75223706,BENIGN
53,94186,1,1,48,113,48.0,113.0,1709.38356,21.23457839,BENIGN
54766,72632354,5,10,11613,68,2322.6,6.8,160.8236462,0.206519535,BENIGN
53,32146,4,2,128,532,32.0,266.0,20531.32583,186.6484166,BENIGN
53,251,2,2,68,164,34.0,82.0,924302.7888,15936.25498,BENIGN
53,23540,2,2,68,158,34.0,79.0,9600.679694,169.9235344,BENIGN
53,592,1,1,57,116,57.0,116.0,292229.7297,3378.378378,BENIGN
53,46881,2,2,60,264,30.0,132.0,6911.115377,85.32241206,BENIGN
21431,8900548,1,6,1375,30,1375.0,5.0,157.8554489,0.786468429,BENIGN
53,60530,1,1,46,113,46.0,113.0,2626.79663,33.04146704,BENIGN
53,115816257,3,3,150,354,50.0,118.0,4.351720674,0.051806199,BENIGN
443,98988,20,25,2126,41017,106.3,1640.68,435840.708,454.6005576,BENIGN
51051,4,2,0,0,0,0.0,0.0,0.0,500000.0,BENIGN
53,277,2,2,88,218,44.0,109.0,1104693.141,14440.43321,BENIGN
443,60839596,11,8,4444,4556,404.0,569.5,147.9299764,0.312296617,BENIGN
443,88992353,29,33,3936,6430,135.7241379,194.8484848,116.4819184,0.696689074,BENIGN
53,47923,1,1,50,132,50.0,132.0,3797.758905,41.73361434,BENIGN
53,170,2,2,80,112,40.0,56.0,1129411.765,23529.41176,BENIGN
31086,8759572,1,5,6,30,6.0,6.0,4.109789839,0.684964973,BENIGN
80,27020,2,0,0,0,0.0,0.0,0.0,74.019245,BENIGN
53,853,2,2,66,166,33.0,83.0,271981.2427,4689.33177,BENIGN
53,30776,4,2,124,162,31.0,81.0,9292.95555,194.9571094,BENIGN
443,21054248,16,14,1287,14865,80.4375,1061.785714,767.1610974,1.424890597,BENIGN
53,204,2,2,66,386,33.0,193.0,2215686.275,19607.84314,BENIGN
51762,2864,2,0,0,0,0.0,0.0,0.0,698.3240223,BENIGN
53,66301,2,2,76,238,38.0,119.0,4735.976833,60.33091507,BENIGN
41645,9812537,1,7,6,42,6.0,6.0,4.8917013,0.81528355,BENIGN
53,155,2,2,84,116,42.0,58.0,1290322.581,25806.45161,BENIGN
53,61425,2,2,60,344,30.0,172.0,6577.126577,65.12006512,BENIGN
53,65837,4,2,160,212,40.0,106.0,5650.31821,91.13416468,BENIGN
443,118144173,30,29,3472,5483,115.7333333,189.0689655,75.79722108,0.499389843,BENIGN
56284,92303237,7,9,11607,62,1658.142857,6.888888889,126.4202684,0.1733417,BENIGN
443,65171529,13,14,1551,4264,119.3076923,304.5714286,89.22607908,0.414291339,BENIGN
49348,11996924,1,7,6,42,6.0,6.0,4.001025596,0.666837599,BENIGN
9362,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
57912,999976,2,0,0,0,0.0,0.0,0.0,2.000048001,BENIGN
53,175,2,2,72,200,36.0,100.0,1554285.714,22857.14286,BENIGN
53,152,2,2,62,94,31.0,47.0,1026315.789,26315.78947,BENIGN
56320,531,2,0,12,0,6.0,0.0,22598.87006,3766.478343,BENIGN
56631,20921,6,3,6333,0,1055.5,0.0,302710.1955,430.1897615,BENIGN
53,120427,1,1,50,66,50.0,66.0,963.2391407,16.60757139,BENIGN
443,1968068,12,11,3530,2893,294.1666667,263.0,3263.606745,11.68658807,BENIGN
53,192,2,2,94,222,47.0,111.0,1645833.333,20833.33333,BENIGN
53,214,2,2,64,258,32.0,129.0,1504672.897,18691.58879,BENIGN
53,59782,1,1,63,128,63.0,128.0,3194.941621,33.45488609,BENIGN
53,213,2,2,64,204,32.0,102.0,1258215.962,18779.34272,BENIGN
80,140,2,0,0,0,0.0,0.0,0.0,14285.71429,BENIGN
53,92834,2,2,82,406,41.0,203.0,5256.694745,43.08766185,BENIGN
443,5060741,9,7,377,6007,41.88888889,858.1428571,1261.475345,3.161592344,BENIGN
55518,3,2,0,0,0,0.0,0.0,0.0,666666.6667,BENIGN
443,110007081,16,16,1148,1810,71.75,113.125,26.88917816,0.290890366,BENIGN
443,5763756,10,7,854,3483,85.4,497.5714286,752.4607218,2.949465592,BENIGN
62478,134719,1,5,6,30,6.0,6.0,267.2228862,44.53714769,BENIGN
53,592,1,1,83,211,83.0,211.0,496621.6216,3378.378378,BENIGN
53,167279,1,1,41,204,41.0,204.0,1464.61899,11.95607339,BENIGN
55840,3,2,0,37,0,18.5,0.0,12300000.0,666666.6667,BENIGN
51672,37,2,1,31,0,15.5,0.0,837837.8378,81081.08108,BENIGN
40529,5167851,1,6,6,36,6.0,6.0,8.127169301,1.354528217,BENIGN
55005,90147027,6,9,12976,56,2162.666667,6.222222222,144.5638357,0.166394839,BENIGN
36518,77,1,1,6,6,6.0,6.0,155844.1558,25974.02597,BENIGN
53,197,2,2,66,258,33.0,129.0,1644670.051,20304.56853,BENIGN
80,416311,3,4,692,421,230.6666667,105.25,2673.482084,16.81435273,BENIGN
63284,1114057,6,2,11607,26,1934.5,13.0,10442.01509,7.180961118,BENIGN
443,154480,22,47,871,63088,39.59090909,1342.297872,414027.7059,446.6597618,BENIGN
