日志ID,日志特征列1,日志特征列2,日志特征列3,是否异常
%%blk_-1608999687919862906,"0,0,203,0,10,7,0","0,3,0,3,0,0,0","0,4,0,4,0,0,10",<font color=#11b3ff>正常</font>
%%blk_7503483334202473044,"0,2,1,0,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-3544583377289625738,"0,0,203,0,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,1,3",<font color=#11b3ff>正常</font>
%%blk_-9073992586687739851,"0,3,0,0,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_7854771516489510256,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_1717858812220360316,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-2519617320378473615,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_7063315473424667801,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_8586544123689943463,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_2765344736980045501,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-2900490557492272760,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-50273257731426871,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_4394112519745907149,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_3640100967125688321,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-40115644493265216,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-8531310335568756456,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-3409923645141256069,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_3974948352784823938,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_5647760196018207394,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-202775138379690649,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-8120118743897862909,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_8376667364205250596,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-1942808544656255720,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_3947106522258141922,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-4513615671112005170,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_5703440264997337028,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-66330728533676520,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_1998424538687454859,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_3175731177970777720,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_5117857107611435103,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_5727159100405160712,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-6535155942125829332,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#ff7a2e>异常</font>
%%blk_-7742258871275669707,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-7861579849076010389,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
%%blk_-8476126489496204177,"0,3,1,15,3,0,0","0,3,0,3,0,0,0","0,0,0,0,0,0,3",<font color=#11b3ff>正常</font>
