 Label, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
DoS Hulk,0.0012207217517357,0.7012509357186643,3.6403680412089664e-05,2.055343550674496e-05,5.829457364341086e-05,1.769005477020985e-05,0.0151490733279613,0.0,0.0140645623264063,0.0232682846199856,0.2965693804403482,0.0,0.3331609344022067,0.2661499140153456,0.1119211606886354,0.3333333630421489,0.0500894523153093,0.2641501286114488,0.6983333660138855,1.1666665305555718e-07,0.7000000000000001,0.0875,0.3498696824318753,0.6983333333333334,9.9999990000001e-08,0.0029284583333333,0.0005856916666666,0.0011877353092113,0.0017998583333333,3.75e-07,0.0,0.0,0.0,0.0,0.9998558329650072,0.9945921179552312,3.5650578666666675e-08,3.56505785e-08,0.0,0.2333601933924254,0.2312419734688031,0.3316938829223683,0.1099584745089285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2114212328862518,0.0140645623264063,0.3331609344022067,0.9998558329650072,0.0,0.0,0.0,0.0,0.0,0.0,3.6403680412089664e-05,5.842892393346624e-05,2.055343550674496e-05,1.769005477020985e-05,0.00384521484375,0.00360107421875,9.365181192843128e-06,0.9999998025595728,5.454545454545455e-08,0.0,5.454545454545455e-08,5.454545454545455e-08,0.6983333333333334,0.0,0.6983333333333334,0.6983333333333334
DDoS,0.0012207217517357,0.0481500455862458,1.3651380154533624e-05,0.0,1.8604651162790693e-06,0.0,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,0.0,0.0,0.0,0.1119210995513256,0.3333334487136509,0.0160500871529072,0.0393385856156386,0.0481500114504154,1.2499998541666836e-07,0.0481499416666666,0.0160499805583333,0.0394303409868883,0.0481499083333333,1.0833332250000109e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558262604472,0.9945919326979602,2.30760635e-07,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0019263698631786,0.001009955273385,0.0,0.9998558262604472,0.0,0.0,0.0,0.0,0.0,0.0,1.3651380154533624e-05,1.864752891493604e-06,0.0,0.0,0.0039215087890625,0.0,1.4047771789264692e-05,0.9999997802078264,3.636363636363636e-08,0.0,3.636363636363636e-08,3.636363636363636e-08,0.0481499083333333,0.0,0.0481499083333333,0.0481499083333333
DDoS,0.0012207217517357,0.0004335832935881,1.8201840206044832e-05,0.0,2.325581395348837e-06,0.0,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,0.0,0.0,0.0,0.1119213450834172,0.33334935373692,0.0001084770715816,0.0002987834708397,0.0004251332872772,1.4166665013889082e-07,0.000433475,0.00010836875,0.0002994803690088,0.000425025,1.2499998750000125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99985582688124,0.9945919326979602,3.204080717333334e-05,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0018493150686514,0.001009955273385,0.0,0.99985582688124,0.0,0.0,0.0,0.0,0.0,0.0,1.8201840206044832e-05,2.3309411143670044e-06,0.0,0.0,0.0039215087890625,0.0,1.8730362385686256e-05,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0538185702296482,5.749999472916716e-07,0.0,3.425572584457492e-06,0.0,9.153974007870556e-09,0.0,0.0,0.0,0.0,0.0003072196620583,0.0020718232044198,0.0010343935867597,0.0,0.1119670423915523,0.339285714285,5.749999377083401e-07,0.0,5.749999377083401e-07,5.833332652777857e-07,0.0,0.0,0.0,0.0,9.9999990000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558250188622,0.9945919512236872,0.0059523809533333,0.0089285714299999,0.0,0.0002417405318291,0.0005993150685188,0.0007321325625326,5.357142857142858e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0007705479452714,0.0,0.0010343935867597,0.9998558250188622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425572584457492e-06,9.153974007870556e-09,0.4455718994140625,1.52587890625e-05,0.0,0.9999998174607372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,0.0012207217517357,0.845726597475062,5.4605520618134496e-05,2.055343550674496e-05,0.0001162790697674,1.769005477020985e-05,0.0120870265914585,0.0,0.0194222167984556,0.0213190429353684,0.2224270353302611,0.0,0.3331609344022067,0.2657931968573087,0.1119211531007999,0.3333333645359583,0.0469849125016344,0.2771217867129039,0.831666684902776,1.2499998541666836e-07,0.8416666666666667,0.0704760548583333,0.3404137450688516,0.8316666666666667,1.0833332250000109e-07,0.0142404916666666,0.0028480983333333,0.009042443592541,0.014227375,1.575e-06,0.0,0.0,0.0,0.0,0.99985583693808,0.9945921179552312,4.2698329e-08,2.95603815e-08,0.0,0.1750201450443191,0.1962007705563442,0.2989062517792238,0.0892943086160714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1770232516333068,0.0194222167984556,0.3331609344022067,0.99985583693808,0.0,0.0,0.0,0.0,0.0,0.0,5.4605520618134496e-05,0.0001165470557183,2.055343550674496e-05,1.769005477020985e-05,0.00384521484375,0.00360107421875,2.341295298210782e-05,0.9999998025595728,1.811818181818182e-05,0.0,1.811818181818182e-05,1.811818181818182e-05,0.8316666666666667,0.0,0.8316666666666667,0.8316666666666667
DDoS,0.0012207217517357,0.6867052037186897,3.185322036057845e-05,1.3702290337829969e-05,4.34108527131783e-06,1.7699208744217723e-05,0.0008058017727639,0.0,0.0011782811522825,0.0007938779545429,0.4485407066052227,0.0,0.5,0.5037816157910583,0.1119211584307534,0.3333333576038175,0.0624278432369836,0.2783010283584907,0.6558333706180516,1.1666665305555718e-07,0.6716666666666666,0.0958333333333333,0.3498696824318753,0.6558333333333334,9.9999990000001e-08,0.014806725,0.004935575,0.0120771409483403,0.0147459333333333,1.475e-06,0.0,0.0,0.0,0.0,0.9998558291160932,0.9945920179163048,3.2360645666666675e-08,2.4270484e-08,0.0,0.3529411764705882,0.2688389094036318,0.5259421464760798,0.2764583619642857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2496361301669208,0.0011782811522825,0.5,0.9998558291160932,0.0,0.0,0.0,0.0,0.0,0.0,3.185322036057845e-05,4.351090080151741e-06,1.3702290337829969e-05,1.7699208744217723e-05,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0179089181818181,0.0,0.0179089181818181,0.0179089181818181,0.6558333333333334,0.0,0.6558333333333334,0.6558333333333334
DoS Hulk,0.0012207217517357,0.7001354274875858,3.6403680412089664e-05,1.712786292228746e-05,2.713178294573644e-05,1.769005477020985e-05,0.0141015310233682,0.0,0.0065460064017566,0.0163728974879474,0.3707117255504352,0.0,0.399793121282648,0.3664790215243484,0.1119211587370856,0.3333333611057398,0.0538566704488607,0.2747633034217303,0.699166699256941,1.1666665305555718e-07,0.6991666666666667,0.0875,0.3498696824318753,0.6991666666666667,9.9999990000001e-08,0.001279425,0.00031985625,0.0008084484922597,0.0011696083333333,1.25e-07,0.0,0.0,0.0,0.0,0.9998558329650072,0.9945920883140678,3.570737966666667e-08,2.975615e-08,0.0,0.2917002417405318,0.2386272831052494,0.4134444732800307,0.1708394494196428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2191475049074612,0.0065460064017566,0.399793121282648,0.9998558329650072,0.0,0.0,0.0,0.0,0.0,0.0,3.6403680412089664e-05,2.7194313000948383e-05,1.712786292228746e-05,1.769005477020985e-05,0.00384521484375,0.00360107421875,4.682590596421564e-06,0.9999998025595728,9.127272727272727e-06,0.0,9.127272727272727e-06,9.127272727272727e-06,0.6991666666666667,0.0,0.6991666666666667,0.6991666666666667
PortScan,0.8657511253528649,5.583332821527826e-07,0.0,3.425572584457492e-06,0.0,9.153974007870556e-09,0.0,0.0,0.0,0.0,0.0003072196620583,0.0020718232044198,0.0010343935867597,0.0,0.1119687440442109,0.33950617284,5.583332728472288e-07,0.0,5.583332728472288e-07,5.666666005555633e-07,0.0,0.0,0.0,0.0,9.9999990000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558250188622,0.9945919512236872,0.0061728395066666,0.00925925926,0.0,0.0002417405318291,0.0005993150685188,0.0007321325625326,5.357142857142858e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0007705479452714,0.0,0.0010343935867597,0.9998558250188622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425572584457492e-06,9.153974007870556e-09,0.4455718994140625,1.52587890625e-05,0.0,0.9999998174607372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH-Patator,0.0003356984817273,0.1003809824650766,8.190828092720174e-05,0.0001061927501181,0.0001556589147286,4.18794310860078e-06,0.0257856567284448,0.0,0.0177893876180015,0.0201761615633228,0.0499743983614951,0.0,0.0152656472890268,0.0272512815331723,0.1119212669727453,0.3333340251427908,0.0020486975672244,0.0078035715509409,0.0240341473963007,1.4166665013889082e-07,0.0866666666666666,0.0048003981483333,0.0116540971511382,0.0246576,3.458332987500035e-06,0.1,0.0033459891666666,0.0096256317818331,0.0240340416666666,2.5e-08,0.0,0.0,0.0,0.0,0.9998558428976888,0.9945928589843144,5.257751876666667e-07,1.286765591e-06,0.0,0.0393231265108783,0.0279269070649797,0.0409868711698207,0.0016789714633928,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0244160958925013,0.0177893876180015,0.0152656472890268,0.9998558428976888,0.0,0.0,0.0,0.0,0.0,0.0,8.190828092720174e-05,0.0001560176585882,0.0001061927501181,4.18794310860078e-06,0.4455718994140625,0.0037841796875,7.492144954274503e-05,0.9999998025595728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.0012207217517357,0.0005613332818777,9.100920103022416e-06,1.712786292228746e-05,2.0155038759689923e-06,1.7708362718225593e-05,0.0008058017727639,0.0,0.0014588242838344,0.0014403288737505,0.4441884280593958,0.0,0.4002068787173519,0.459999047548094,0.1119951682106346,0.3333531312951334,8.028332463597316e-05,0.0002616046681847,0.000496974946161,1.333333177777796e-07,5.855833333333333e-05,2.9279166666666662e-05,5.8697860301794034e-05,5.854166666666667e-05,1.166666550000012e-07,0.0005588916666666,0.0001397229166666,0.0003406057954044,0.0004968666666666,1.625e-06,0.0,0.0,0.0,0.0,0.9998558260121304,0.994592036442032,1.484847135e-05,3.7121178375e-05,0.0,0.3495165189363416,0.3873240108042519,0.6195531412294104,0.3836285391964286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.3734910103059495,0.0014588242838344,0.4002068787173519,0.9998558260121304,0.0,0.0,0.0,0.0,0.0,0.0,9.100920103022416e-06,2.020148965784737e-06,1.712786292228746e-05,1.7708362718225593e-05,0.1250152587890625,0.003509521484375,9.365181192843128e-06,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
