 Label, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
DDoS,0.0012207217517357,0.0778368595316212,3.185322036057845e-05,2.0553435506744956e-05,4.34108527131783e-06,1.7699208744217723e-05,0.0008058017727639,0.0,0.0011782811522825,0.0007938779545429,0.2990271377368151,0.0,0.3333333333333333,0.2672194823048318,0.1119216329407748,0.3333335831438967,0.0059875506330153,0.0262843271911384,0.0670313427382712,1.333333177777796e-07,0.0778315166666666,0.0111187880916666,0.0354158307578638,0.0670312416666666,1.1666665500000119e-07,0.00017155,3.431e-05,0.0001057956372472,0.0001674416666666,3.75e-07,0.0,0.0,0.0,0.0,0.9998558291160932,0.9945920549677588,2.854977866666667e-07,3.2118501e-07,0.0,0.2352941176470588,0.2329937214611726,0.3451537492606867,0.1190635897321428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2139738258573607,0.0011782811522825,0.3333333333333333,0.9998558291160932,0.0,0.0,0.0,0.0,0.0,0.0,3.185322036057845e-05,4.351090080151741e-06,2.0553435506744956e-05,1.7699208744217723e-05,0.0039215087890625,0.003509521484375,2.8095543578529385e-05,0.9999997802078264,0.0116003363636363,0.0,0.0116003363636363,0.0116003363636363,0.0670312416666666,0.0,0.0670312416666666,0.0670312416666666
PortScan,0.0477302204928664,6.166666101388941e-07,0.0,3.425572584457492e-06,1.5503875968992249e-07,9.153974007870556e-09,8.058017727639001e-05,0.0008602150537634,0.000336651757795,0.0,0.0003072196620583,0.0020718232044198,0.0010343935867597,0.0,0.111977335995283,0.3387978142083334,6.166665998611184e-07,0.0,6.166665998611184e-07,6.249999270833418e-07,0.0,0.0,0.0,0.0,9.9999990000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999855824522228,0.9945919512236872,0.0054644808733333,0.00819672131,0.0013812154696132,0.0002417405318291,0.0009988584474314,0.0004880883750922,2.3809523808035717e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0012842465754524,0.000336651757795,0.0010343935867597,0.999855824522228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5539607429113364e-07,3.425572584457492e-06,9.153974007870556e-09,0.0156402587890625,1.52587890625e-05,0.0,0.9999997876584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,0.0012207217517357,5.166666193055599e-07,4.550460051511208e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1119210977701543,0.3401360544216667,5.166666106944506e-07,0.0,5.166666106944506e-07,5.249999387500071e-07,4.083333333333333e-07,4.083333333333333e-07,0.0,4.083333333333333e-07,5.083332825000051e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.9945919326979602,0.0136054421766666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.0,0.0,0.0,0.0,0.0,0.0,4.550460051511208e-06,0.0,0.0,0.0,0.0041961669921875,0.0,0.0,0.9999998025595728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,0.0012207217517357,0.8344573318414114,3.185322036057845e-05,2.0553435506744956e-05,2.5193798449612404e-05,1.769005477020985e-05,0.0128525382755842,0.0,0.0068382388302111,0.0157881622875075,0.2224270353302611,0.0,0.3331609344022067,0.2141432797348789,0.1119211488162283,0.333333356635238,0.0641891244545115,0.3266499358275505,0.8333333513888871,1.333333177777796e-07,0.8333333333333334,0.1191666666666666,0.4467930404028677,0.8333333333333334,1.1666665500000119e-07,0.0012466833333333,0.0002493366666666,0.0007139928096043,0.001144575,4.1666666666666667e-07,0.0,0.0,0.0,0.0,0.9998558315992636,0.9945921179552312,2.6630748333333337e-08,2.99595915e-08,0.0,0.1750201450443191,0.2381278539014609,0.3011987116043649,0.0906692453125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2186888454125589,0.0068382388302111,0.3331609344022067,0.9998558315992636,0.0,0.0,0.0,0.0,0.0,0.0,3.185322036057845e-05,2.525186207230921e-05,2.0553435506744956e-05,1.769005477020985e-05,0.0041961669921875,0.00360107421875,9.365181192843128e-06,0.9999997802078264,1.8e-05,0.0,1.8e-05,1.8e-05,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
PortScan,0.762951094834821,6.083332775694496e-07,0.0,3.425572584457492e-06,1.5503875968992249e-07,9.153974007870556e-09,8.058017727639001e-05,0.0008602150537634,0.000336651757795,0.0,0.0003072196620583,0.0020718232044198,0.0010343935867597,0.0,0.1119782732990137,0.3388888888883333,6.083332674305628e-07,0.0,6.083332674305628e-07,6.166665947222306e-07,0.0,0.0,0.0,0.0,9.9999990000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999855824522228,0.9945919512236872,0.0055555555566666,0.0083333333349999,0.0013812154696132,0.0002417405318291,0.0009988584474314,0.0004880883750922,2.3809523808035717e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0012842465754524,0.000336651757795,0.0010343935867597,0.999855824522228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5539607429113364e-07,3.425572584457492e-06,9.153974007870556e-09,0.0156402587890625,1.52587890625e-05,0.0,0.9999997876584084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,0.0012207217517357,0.8347968901436185,2.275230025755604e-05,1.712786292228746e-05,2.922480620155039e-05,1.769005477020985e-05,0.0151893634165995,0.0,0.0105764760568321,0.0215995387932167,0.4448540706605223,0.0,0.399793121282648,0.4605727772355483,0.1119211490180586,0.3333333516345255,0.0833334326388781,0.3726403600054367,0.8333333513888871,1.2499998541666836e-07,0.8333333333333334,0.1666666666666666,0.5283505001589468,0.8333333333333334,1.0833332250000109e-07,0.0012369333333333,0.0003092333333333,0.0007852410419505,0.0011348916666666,7.166666666666667e-07,0.0,0.0,0.0,0.0,0.9998558299852028,0.9945920883140678,1.9964937e-08,2.4956171e-08,0.0,0.3500402900886382,0.2989583333561197,0.5409647971329035,0.2924770481696429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2795454544759885,0.0105764760568321,0.399793121282648,0.9998558299852028,0.0,0.0,0.0,0.0,0.0,0.0,2.275230025755604e-05,2.9292160003878687e-05,1.712786292228746e-05,1.769005477020985e-05,0.0041961669921875,0.00360107421875,4.682590596421564e-06,0.9999998025595728,3.636363636363636e-08,0.0,3.636363636363636e-08,3.636363636363636e-08,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
DoS Hulk,0.0012207217517357,1.4166665368055678e-07,4.550460051511208e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1119210977701543,0.4166666666666667,1.416666513194461e-07,0.0,1.416666513194461e-07,1.4999998250000205e-07,3.3333333333333334e-08,3.3333333333333334e-08,0.0,3.3333333333333334e-08,1.3333332000000134e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.9945919326979602,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.0,0.0,0.0,0.0,0.0,0.0,4.550460051511208e-06,0.0,0.0,0.0,0.00384521484375,0.0,0.0,0.9999998025595728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.0012207217517357,0.0414825045307704,1.8201840206044832e-05,0.0,2.325581395348837e-06,0.0,0.0002417405318291,0.0025806451612903,0.001009955273385,0.0,0.0,0.0,0.0,0.0,0.1119211003544821,0.3333335007403407,0.01037070720984,0.0293344146461929,0.0414652788412614,9.333332244444572e-07,0.0414824,0.0103706,0.0294028357666813,0.041465175,9.166665750000092e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99985582688124,0.9945919326979602,3.348140146666667e-07,0.0,0.0041436464088397,0.0002417405318291,0.0017979452055564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0018493150686514,0.001009955273385,0.0,0.99985582688124,0.0,0.0,0.0,0.0,0.0,0.0,1.8201840206044832e-05,2.3309411143670044e-06,0.0,0.0,0.0039215087890625,0.0,1.8730362385686256e-05,0.9999997802078264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS Hulk,0.0012207217517357,8.466665890555627e-06,4.550460051511208e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1119210977701543,0.3336656696576667,8.466665749444544e-06,0.0,8.466665749444544e-06,8.474999011250115e-06,8.358333333333334e-06,8.358333333333334e-06,0.0,8.358333333333334e-06,8.458332487500085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.9945919326979602,0.0006646726486666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558257638132,0.0,0.0,0.0,0.0,0.0,0.0,4.550460051511208e-06,0.0,0.0,0.0,0.00384521484375,0.0,0.0,0.9999998025595728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PortScan,0.0179140917067215,6.833332706944503e-07,0.0,3.425572584457492e-06,0.0,9.153974007870556e-09,0.0,0.0,0.0,0.0,0.0003072196620583,0.0020718232044198,0.0010343935867597,0.0,0.1119583861585506,0.3381642512083334,6.833332593055637e-07,0.0,6.833332593055637e-07,6.916665859722316e-07,0.0,0.0,0.0,0.0,9.9999990000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998558250188622,0.9945919512236872,0.0048309178733333,0.0072463768099999,0.0,0.0002417405318291,0.0005993150685188,0.0007321325625326,5.357142857142858e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0007705479452714,0.0,0.0010343935867597,0.9998558250188622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425572584457492e-06,9.153974007870556e-09,0.4455718994140625,1.52587890625e-05,0.0,0.9999998174607372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
