src_ip,dst_ip,src_port,protocol,timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.10.10,172.16.20.21,21000,6,2026-05-10 09:00:00,80,5888913,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.075455012,0.679242502,1962971.0,3399042.364,5887847,1,5888913,1962971.0,3399042.364,5887847,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.679242502,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1066.0,0.0,1066,1066,5887847.0,0.0,5887847,5887847,DDoS
172.16.10.10,172.16.30.30,21001,6,2026-05-10 09:00:07,80,71695463,8,6,56,11607,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,162.6741709,0.195270376,5515035.615,17400000.0,62700000,2,71700000,10200000.0,23400000.0,62700000,16,12993,2598.6,5352.042909,12155,2,0,0,0,0,172,132,0.111583072,0.083687304,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,6876.0,0.0,6876,6876,35800000.0,38000000.0,62700000,8963786,DDoS
172.16.10.10,10.40.20.21,21002,6,2026-05-10 09:00:14,80,80093164,8,5,56,11601,20,0,7.0,5.656854249,5840,0,2320.2,2436.833027,145.5430079,0.162310981,6674430.333,21400000.0,74400000,54,78400000,11200000.0,27900000.0,74400000,183,1720513,430128.25,847272.6642,1700966,156,0,0,0,0,172,112,0.09988368,0.0624273,0,5840,833.0714286,1774.906302,3150292.379,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,3960319.0,0.0,3960319,3960319,74400000.0,0.0,74400000,74400000,DDoS
172.16.10.10,10.40.20.22,21003,6,2026-05-10 09:00:21,80,11424767,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.625874121,0.437645687,2856191.75,5711712.853,11400000,1,11400000,2856191.75,5711712.853,11400000,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.437645687,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1006.0,0.0,1006,1006,11400000.0,0.0,11400000,11400000,DDoS
172.16.10.10,10.40.20.23,21004,6,2026-05-10 09:00:28,80,2894944,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,8.290315806,1.381719301,964981.3333,1668751.686,2891889,4,2894944,964981.3333,1668751.686,2891889,4,0,0.0,0.0,0,0,0,0,0,0,80,0,1.381719301,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,172.16.20.21,21005,6,2026-05-10 09:00:35,80,1023946,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,11355.09099,7.812912009,146278.0,377263.6738,1001639,48,21879,10939.5,15226.13032,21706,173,1023856,255964.0,497221.3913,1001639,190,0,0,0,0,72,112,2.929842003,4.883070006,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,172.16.30.30,21006,6,2026-05-10 09:00:42,80,547709,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,21239.38077,14.60629641,78244.14286,206621.2907,546817,5,693,346.5,351.4320702,595,98,547662,136915.5,273267.8263,546817,5,0,0,0,0,72,112,5.477361153,9.128935256,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,10.40.20.21,21007,6,2026-05-10 09:00:49,80,6491198,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.697314425,0.616219071,2163732.667,3747036.733,6490438,351,6491198,2163732.667,3747036.733,6490438,351,0,0.0,0.0,0,0,0,0,0,0,80,0,0.616219071,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,760.0,0.0,760,760,6490438.0,0.0,6490438,6490438,DDoS
172.16.10.10,10.40.20.22,21008,6,2026-05-10 09:00:56,80,593685,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,19594.56614,15.15955431,74210.625,208553.3187,590349,45,2810,1405.0,1839.891845,2706,104,593631,118726.2,263647.675,590349,48,0,0,0,0,72,132,5.05318477,10.10636954,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,10.40.20.23,21009,6,2026-05-10 09:01:03,80,1074730,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10818.53117,8.37419631,134341.25,374562.4047,1061271,16,12912,6456.0,8967.528199,12797,115,1074709,214941.8,473145.0858,1061271,16,0,0,0,0,72,132,2.79139877,5.58279754,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,172.16.20.21,21010,6,2026-05-10 09:01:10,80,1378017,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,8441.840703,5.805443619,196859.5714,520390.4383,1376994,3,845,422.5,501.3387079,777,68,1378002,344500.5,688329.0991,1376994,3,0,0,0,0,72,112,2.177041357,3.628402262,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,172.16.30.30,21011,6,2026-05-10 09:01:17,80,218254,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,53300.28316,36.65454012,31179.14286,81977.13997,217085,5,875,437.5,471.6402231,771,104,218207,54551.75,108356.2184,217085,5,0,0,0,0,72,112,13.74545255,22.90908758,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,10.40.20.21,21012,6,2026-05-10 09:01:24,80,3074915,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,9.756367249,1.626061208,768728.75,1536130.448,3072924,6,3074915,768728.75,1536130.448,3072924,6,0,0.0,0.0,0,0,0,0,0,0,100,0,1.626061208,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,10.40.20.22,21013,6,2026-05-10 09:01:31,80,935196,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,12439.10367,8.55435652,133599.4286,352905.1864,933913,7,944,472.0,490.7321061,819,125,935083,233770.75,466761.6869,933913,7,0,0,0,0,72,112,3.207883695,5.346472825,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
172.16.10.10,10.40.20.23,21014,6,2026-05-10 09:01:38,80,76246953,8,5,56,11601,20,0,7.0,5.656854249,5840,0,2320.2,2436.833027,152.8847979,0.170498617,6353912.75,19200000.0,66600000,19,76200000,10900000.0,24800000.0,66600000,19,21929,5482.25,10278.43462,20899,187,0,0,0,0,172,112,0.104922226,0.065576391,0,5840,833.0714286,1774.906302,3150292.379,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,1988.0,0.0,1988,1988,38100000.0,40200000.0,66600000,9650735,DDoS
172.16.10.10,172.16.20.21,21015,6,2026-05-10 09:01:45,80,82256571,8,5,56,11607,20,0,7.0,5.656854249,5840,0,2321.4,3173.373883,141.7880646,0.158042085,6854714.25,21600000.0,75400000,9,80400000,11500000.0,28300000.0,75400000,55,1869262,467315.5,933853.0921,1868095,9,0,0,0,0,172,112,0.097256668,0.060785417,0,5840,833.5,2103.115592,4423095.192,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,4964880.0,0.0,4964880,4964880,75400000.0,0.0,75400000,75400000,DDoS
