node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
10.10.10.18,2026-05-11 09:00:00,63,12,11,0.19047619047619047,0.17993146181106567,0.9999313950538635,44,7,7,0.1590909090909091,19,5,4,0.2631578947368421,2,1,13,0.3968253968253968,0.0,1.0,0.5419438500683029,0.5967464379574123,0.3808053762752772,uncertain,Bot:5; DDoS:2; Web Attack � Sql Injection:2
114.114.114.114,2026-05-11 09:00:00,75,12,11,0.16,0.16370998322963715,0.9999713897705078,38,6,5,0.15789473684210525,37,6,6,0.16216216216216217,2,1,16,0.48,0.0,1.0,0.5410241354766645,0.5612546125242301,0.3702959168600409,uncertain,Bot:8; DDoS:1; PortScan:1
104.16.132.229,2026-05-11 09:00:00,75,11,11,0.14666666666666667,0.14611785113811493,0.9999858736991882,38,6,6,0.15789473684210525,37,5,5,0.13513513513513514,2,1,13,0.41333333333333333,0.0,1.0,0.5810123637580035,0.5211901283586348,0.3564033366584026,uncertain,Bot:5; PortScan:2; Web Attack � Sql Injection:2
61.135.169.121,2026-05-11 09:00:00,76,11,10,0.14473684210526316,0.14862118661403656,0.9999383687973022,38,7,6,0.18421052631578946,38,4,4,0.10526315789473684,2,1,12,0.4342105263157895,0.0,1.0,0.5713890313579325,0.5580116209230925,0.3476816124429828,uncertain,Bot:6; Web Attack � Sql Injection:2; DoS Hulk:1
10.10.10.12,2026-05-11 09:00:00,65,10,10,0.15384615384615385,0.1652960479259491,0.9990817904472351,46,7,7,0.15217391304347827,19,3,3,0.15789473684210525,2,1,9,0.47692307692307695,0.0,1.0,0.5686498953133636,0.4575915888213275,0.33649541666376154,uncertain,Bot:4; SSH-Patator:2; Web Attack � Sql Injection:1
8.8.8.8,2026-05-11 09:00:00,76,8,8,0.10526315789473684,0.12513376772403717,0.9999751448631287,38,4,4,0.10526315789473684,38,4,4,0.10526315789473684,2,1,15,0.5263157894736842,0.0,1.0,0.5577979323111082,0.5545860674820449,0.3339150208783777,uncertain,Bot:4; PortScan:2; Web Attack � Brute Force:1
10.10.10.17,2026-05-11 09:00:00,64,9,9,0.140625,0.15656998753547668,0.9999858736991882,45,6,6,0.13333333333333333,19,3,3,0.15789473684210525,2,1,15,0.5,0.0,1.0,0.5497230809926987,0.5175358161591647,0.32601749688386916,uncertain,Bot:5; PortScan:2; Web Attack � Sql Injection:1
10.10.10.16,2026-05-11 09:00:00,63,11,10,0.1746031746031746,0.16846294701099396,0.9983258843421936,44,8,8,0.18181818181818182,19,3,2,0.15789473684210525,2,1,15,0.42857142857142855,0.0,1.0,0.5707572587511757,0.4474229629102506,0.311904792726015,uncertain,Bot:7; PortScan:1; DDoS:1
10.10.10.15,2026-05-11 09:00:00,63,8,8,0.12698412698412698,0.11789385974407196,0.9991574287414551,44,5,5,0.11363636363636363,19,3,3,0.15789473684210525,2,1,10,0.4444444444444444,0.0,1.0,0.5125906197591261,0.49904872032633996,0.30771119942375247,uncertain,Bot:3; Web Attack � Sql Injection:2; SSH-Patator:1
10.10.10.14,2026-05-11 09:00:00,65,10,9,0.15384615384615385,0.16712595522403717,0.9992509484291077,46,8,7,0.17391304347826086,19,2,2,0.10526315789473684,2,1,14,0.4307692307692308,0.0,1.0,0.5546764697162261,0.42725315062623276,0.2916296669436611,uncertain,Bot:4; Web Attack � Brute Force:2; Heartbleed:1
