src_ip,dst_ip,src_port,protocol,timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.50.50,61.135.169.121,21000,6,2026-05-10 15:00:00,444,101039258,26,26,5810,156,1177,6,223.4615385,324.5229398,6,6,6.0,0.0,59.04635602,0.514651444,1981161.922,8701276.406,55000000,31,101000000,4041554.32,12200000.0,55000000,411,101000000,4041546.56,12200000.0,55000000,528,1,0,0,0,520,520,0.257325722,0.257325722,6,1177,113.245283,250.1431825,62571.61176,0,1,0,0,1,0,0,0,1,115.4230769,223.4615385,6.0,520,0,0,0,0,0,0,26,5810,26,156,255,1452,25,20,558285.6667,10919.81636,570883,551515,32900000.0,19100000.0,55000000,21600000,Infiltration
172.16.50.50,8.8.8.8,21001,6,2026-05-10 15:00:12,444,100460141,26,26,5776,156,1002,6,222.1538462,304.5652235,6,6,6.0,0.0,59.04829459,0.517618226,1969806.686,8655557.349,54800000,36,100000000,4018386.92,12100000.0,54800000,463,100000000,4018391.52,12100000.0,54800000,528,1,0,0,0,520,520,0.258809113,0.258809113,6,1002,112.6037736,237.4695397,56391.78229,0,1,0,0,1,0,0,0,1,114.7692308,222.1538462,6.0,520,0,0,0,0,0,0,26,5776,26,156,255,880,25,20,568411.6667,5121.989587,574107,564183,32700000.0,19100000.0,54800000,21400000,Infiltration
172.16.50.50,114.114.114.114,21002,6,2026-05-10 15:00:24,444,119992821,2252,2250,929308,13500,1272,6,412.6589698,304.9632397,6,6,6.0,0.0,7857.203391,37.51891124,26659.14708,478609.8093,30300000,1,120000000,53306.45091,676742.9543,30300000,113,120000000,53339.03112,676148.0116,30300000,476,0,0,0,0,45040,45000,18.76778945,18.75112179,6,1272,209.3746391,296.4006569,87853.3494,0,0,0,0,1,0,0,0,0,209.4211462,412.6589698,6.0,45040,0,0,0,0,0,0,2252,929308,2250,13500,3294,3294,2251,20,34300000.0,11400000.0,42400000,26200000,19400000.0,15500000.0,30300000,8400626,Infiltration
172.16.50.50,203.119.144.80,21003,6,2026-05-10 15:00:36,444,4042518,2,1,101,6,95,6,50.5,62.93250353,6,6,6.0,0.0,26.46865147,0.742111723,2021259.0,2857728.216,4041978,540,4041978,4041978.0,0.0,4041978,4041978,0,0.0,0.0,0,0,0,0,0,0,40,20,0.494741149,0.247370574,6,95,28.25,44.5,1980.25,0,0,0,0,1,0,0,0,0,37.66666667,50.5,6.0,40,0,0,0,0,0,0,2,101,1,6,255,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
172.16.50.50,104.16.132.229,21004,6,2026-05-10 15:00:48,444,117923038,45,40,15754,240,1460,6,350.0888889,505.5940171,6,6,6.0,0.0,135.6308341,0.720809109,1403845.69,10300000.0,92800000,1,118000000,2680057.409,14200000.0,92800000,1,118000000,3023659.462,15100000.0,92800000,1,1,0,0,0,900,800,0.381604823,0.339204287,6,1460,186.3953488,402.603769,162089.7948,0,1,0,0,1,0,0,0,0,188.5882353,350.0888889,6.0,900,0,0,0,0,0,0,45,15754,40,240,255,1452,44,20,2982953.5,2987574.941,5095488,870419,55700000.0,52500000.0,92800000,18600000,Infiltration
172.16.50.50,151.101.1.69,21005,6,2026-05-10 15:01:00,444,119973135,4376,4374,2321478,26244,1273,6,530.5022852,262.7688148,6,6,6.0,0.0,19568.73095,72.93299454,13712.7826,20459.26463,1163091,1,120000000,27422.43086,23472.11964,1196394,95,120000000,27431.07249,22575.23889,1163557,527,0,0,0,0,87520,87480,36.47483247,36.45816207,6,1273,268.2811107,321.4144458,103307.246,0,0,0,0,1,0,0,0,0,268.3117714,530.5022852,6.0,87520,0,0,0,0,0,0,4376,2321478,4374,26244,3294,3294,4375,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
172.16.50.50,23.45.119.216,21006,6,2026-05-10 15:01:12,444,104790355,15,15,5066,90,1036,6,337.7333333,402.1434475,6,6,6.0,0.0,49.20300155,0.28628589,3613460.517,19200000.0,104000000,63,105000000,7484994.357,27700000.0,104000000,446,105000000,7485002.071,27700000.0,104000000,653,1,0,0,0,300,300,0.143142945,0.143142945,6,1036,168.2580645,321.5345464,103384.4645,0,1,0,0,1,0,0,0,1,173.8666667,337.7333333,6.0,300,0,0,0,0,0,0,15,5066,15,90,255,1452,14,20,571580.0,0.0,571580,571580,104000000.0,0.0,104000000,104000000,Infiltration
172.16.50.50,52.84.217.72,21007,6,2026-05-10 15:01:24,444,56538478,2,1,66,6,60,6,33.0,38.18376618,6,6,6.0,0.0,1.273469017,0.053061209,28300000.0,40000000.0,56500000,389,56500000,56500000.0,0.0,56500000,56500000,0,0.0,0.0,0,0,0,0,0,0,40,20,0.035374139,0.01768707,6,60,19.5,27.0,729.0,0,0,0,0,1,0,0,0,0,26.0,33.0,6.0,40,0,0,0,0,0,0,2,66,1,6,255,0,1,20,0.0,0.0,0,0,56500000.0,0.0,56500000,56500000,Infiltration
172.16.50.50,61.135.169.121,21008,6,2026-05-10 15:01:36,444,69483113,20,20,3734,120,705,6,186.7,226.9546906,6,6,6.0,0.0,55.46671462,0.575679446,1781618.282,8982985.218,55000000,33,69500000,3656979.632,12800000.0,55000000,545,69500000,3656980.316,12800000.0,55000000,574,1,0,0,0,400,400,0.287839723,0.287839723,6,705,94.87804878,180.8824473,32718.45976,0,1,0,0,1,0,0,0,1,97.25,186.7,6.0,400,0,0,0,0,0,0,20,3734,20,120,255,1452,19,20,567480.0,12679.8388,576446,558514,33900000.0,29900000.0,55000000,12800000,Infiltration
172.16.50.50,8.8.8.8,21009,6,2026-05-10 15:01:48,444,101086101,25,25,5821,150,1181,6,232.84,369.0485153,6,6,6.0,0.0,59.0684569,0.494627842,2062981.653,8874378.866,55000000,30,101000000,4211903.417,12400000.0,55000000,441,101000000,4211891.667,12400000.0,55000000,501,1,0,0,0,500,500,0.247313921,0.247313921,6,1181,117.7843137,279.955376,78375.01255,0,1,0,0,1,0,0,0,1,120.14,232.84,6.0,500,0,0,0,0,0,0,25,5821,25,150,255,1452,24,20,569880.0,14944.52311,582609,553425,32900000.0,19100000.0,55000000,21800000,Infiltration
