node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
172.16.50.50,2026-05-10 15:00:00,180,139,139,0.7722222222222223,0.7598573565483093,0.9999876022338867,110,87,87,0.7909090909090909,70,52,52,0.7428571428571429,8,8,16,0.49444444444444446,0.0,1.0,0.8181820698018607,0.8025741077975912,0.8172659264386647,suspected_compromised_host,Bot:46; Infiltration:33; SSH-Patator:20
203.119.144.80,2026-05-10 15:00:00,21,16,16,0.7619047619047619,0.7797707319259644,0.9999622702598572,8,6,6,0.75,13,10,10,0.7692307692307693,1,1,7,0.47619047619047616,0.0,0.35,0.6389715949694317,0.6495651523883527,0.6598236353624434,uncertain,Bot:6; Infiltration:3; PortScan:2
61.135.169.121,2026-05-10 15:00:00,42,23,23,0.5476190476190477,0.5457724332809448,0.9999826550483704,18,10,10,0.5555555555555556,24,13,13,0.5416666666666666,5,5,12,0.5714285714285714,0.0,0.7,0.667782902850045,0.6599843823756928,0.5834669178440457,uncertain,Bot:8; Infiltration:6; SSH-Patator:4
8.8.8.8,2026-05-10 15:00:00,45,24,24,0.5333333333333333,0.5175025463104248,0.9999781250953674,17,10,10,0.5882352941176471,28,14,14,0.5,4,5,12,0.5777777777777777,0.0,0.75,0.6984199264820885,0.6412196440356118,0.5735423032442729,uncertain,Bot:8; Infiltration:6; SSH-Patator:3
104.16.132.229,2026-05-10 15:00:00,42,22,22,0.5238095238095238,0.5385602712631226,0.9999750256538391,18,7,7,0.3888888888888889,24,15,15,0.625,5,5,11,0.42857142857142855,0.0,0.7,0.5953636308984152,0.6885412023464839,0.5310686392443521,uncertain,Bot:10; SSH-Patator:4; Infiltration:3
52.84.217.72,2026-05-10 15:00:00,43,21,20,0.4883720930232558,0.5045405626296997,0.9999876022338867,19,8,7,0.42105263157894735,24,13,13,0.5416666666666666,5,5,12,0.5813953488372093,0.0,0.7166666666666667,0.6161814048400798,0.66050504782261,0.5292920154024269,uncertain,Bot:7; PortScan:4; Infiltration:3
114.114.114.114,2026-05-10 15:00:00,40,20,20,0.5,0.4976608157157898,0.9999728798866272,16,7,7,0.4375,24,13,13,0.5416666666666666,4,5,8,0.475,0.0,0.6666666666666666,0.6089207080148515,0.6435300204998408,0.522331870595614,uncertain,Bot:6; Infiltration:5; PortScan:2
151.101.1.69,2026-05-10 15:00:00,42,20,19,0.47619047619047616,0.4469825327396393,0.9999871850013733,17,7,7,0.4117647058823529,25,13,12,0.52,4,5,9,0.4523809523809524,0.0,0.7,0.5797037320728061,0.6430974082946778,0.505513140187711,uncertain,Bot:6; DDoS:4; SSH-Patator:3
23.45.119.216,2026-05-10 15:00:00,42,18,18,0.42857142857142855,0.43679508566856384,0.9999589920043945,18,6,6,0.3333333333333333,24,12,12,0.5,5,5,12,0.5,0.0,0.7,0.5685576170682907,0.6376444111267725,0.4699130571314267,uncertain,Infiltration:5; Bot:5; FTP-Patator:3
172.16.50.61,2026-05-10 15:00:00,50,10,10,0.2,0.22550903260707855,0.9999826550483704,26,6,6,0.23076923076923078,24,4,4,0.16666666666666666,8,8,11,0.62,0.0,0.8333333333333334,0.6207404002929345,0.6021823585033417,0.354710591485103,uncertain,DDoS:3; PortScan:2; Bot:1
