src_ip,dst_ip,src_port,protocol,timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.11,8.8.8.8,20000,6,2026-05-11 09:00:00,80,4777878,2,1,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2.511575222,0.627893806,2388939.0,3326769.114,4741320,36558,4777878,4777878.0,0.0,4777878,4777878,0,0.0,0.0,0,0,0,0,0,0,40,32,0.41859587,0.209297935,0,6,4.5,3.0,9.0,0,0,0,0,1,0,0,0,0,6.0,6.0,0.0,40,0,0,0,0,0,0,2,12,1,0,257,351,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.12,151.101.1.69,20001,6,2026-05-11 09:00:12,53,24260,2,2,70,280,35,35,35.0,0.0,140,140,140.0,0.0,14427.0404,164.8804617,8086.666667,13961.50154,24208,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,64,82.44023083,82.44023083,35,140,77.0,57.51086854,3307.5,0,0,0,0,0,0,0,0,1,96.25,35.0,140.0,40,0,0,0,0,0,0,2,70,2,280,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.13,61.135.169.121,20002,6,2026-05-11 09:00:24,53,218097,2,2,68,258,34,34,34.0,0.0,129,129,129.0,0.0,1494.74775,18.34046319,72699.0,125912.2995,218090,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,9.170231594,9.170231594,34,129,72.0,52.03364296,2707.5,0,0,0,0,0,0,0,0,1,90.0,34.0,129.0,40,0,0,0,0,0,0,2,68,2,258,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.14,1.1.1.1,20003,6,2026-05-11 09:00:36,443,128225,18,24,961,32115,305,0,53.38888889,86.0602654,2920,0,1338.125,845.381381,257952.8173,327.5492299,3127.439024,6201.625795,23247,-1,128225,7542.647059,9080.124056,25857,18,104502,4543.565217,8984.64399,32666,1,0,0,0,0,372,492,140.3782414,187.1709885,0,2920,769.2093023,901.6669103,813003.2171,0,0,0,1,0,0,0,0,1,787.5238095,53.38888889,1338.125,372,0,0,0,0,0,0,18,961,24,32115,8192,1013,17,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.15,104.16.132.229,20004,6,2026-05-11 09:00:48,443,5563894,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,30.37441044,1.078381436,1112778.8,2438422.667,5474572,18,5563894,1390973.5,2722485.371,5474572,18,0,0.0,0.0,0,0,1,0,0,0,160,32,0.898651196,0.179730239,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,342,126,2,32,51083.0,0.0,51083,51083,5474572.0,0.0,5474572,5474572,BENIGN
10.10.10.16,52.84.217.72,20005,6,2026-05-11 09:01:00,80,234,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8547.008547,234.0,0.0,234,234,234,234.0,0.0,234,234,0,0.0,0.0,0,0,0,0,0,0,64,0,8547.008547,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,264,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.17,114.114.114.114,20006,6,2026-05-11 09:01:12,53,3752626,6,6,204,570,34,34,34.0,0.0,95,95,95.0,0.0,206.2555661,3.197760715,341147.8182,619603.2692,1814308,1,1029069,205813.8,444180.6243,1000071,3,1814389,362877.8,811374.1483,1814308,1,0,0,0,0,192,120,1.598880357,1.598880357,34,95,62.15384615,31.65134582,1001.807692,0,0,0,0,0,0,0,0,1,67.33333333,34.0,95.0,192,0,0,0,0,0,0,6,204,6,570,-1,-1,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.18,23.45.119.216,20007,6,2026-05-11 09:01:24,53,167,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,1005988.0239521,23952.0958083832,55.6666666667,55.8957362715,115,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,11976.0479041916,11976.0479041916,34,50,40.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,40,0,0,0,0,0,0,2,68,2,100,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.11,8.8.8.8,20008,6,2026-05-11 09:01:36,53,209,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1550239.234,19138.75598,69.66666667,37.5277675,113,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,9569.37799,9569.37799,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.12,151.101.1.69,20009,6,2026-05-11 09:01:48,53,143328,2,2,70,178,35,35,35.0,0.0,89,89,89.0,0.0,1730.296941,27.90801518,47776.0,82746.99529,143324,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,13.95400759,13.95400759,35,89,56.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,70.75,35.0,89.0,64,0,0,0,0,0,0,2,70,2,178,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.13,61.135.169.121,20010,6,2026-05-11 09:02:00,443,104046,6,5,1561,3369,906,0,260.1666667,373.6182098,2733,0,673.8,1162.013855,47382.88834,105.7224689,10404.6,10640.99205,24389,115,79041,15808.2,10410.94843,27015,1099,79746,19936.5,20727.53252,39259,1541,0,0,0,0,132,112,57.66680122,48.05566769,0,2733,410.8333333,783.3379432,613618.3333,0,0,0,1,0,0,0,0,0,448.1818182,260.1666667,673.8,132,0,0,0,0,0,0,6,1561,5,3369,8192,63,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.14,1.1.1.1,20011,6,2026-05-11 09:02:12,80,116393728,20,18,2600,1461,869,0,130.0,304.324446,466,2,81.16666667,173.6264584,34.89019615,0.326478073,3145776.432,4587026.353,10000000,84,116000000,6125985.684,4848701.84,10100000,3540,112000000,6559856.0,4891077.846,10100000,602,0,0,0,0,412,364,0.171830565,0.154647508,0,869,104.1282051,246.3340884,60680.48313,0,0,0,1,0,0,0,0,0,106.8684211,130.0,81.16666667,412,0,0,0,0,0,0,20,2600,18,1461,8192,6884,19,20,137328.9091,256557.8946,910880,59771,10000000.0,6605.185605,10000000,9980725,BENIGN
10.10.10.15,104.16.132.229,20012,6,2026-05-11 09:02:24,53,47508,1,1,43,193,43,43,43.0,0.0,193,193,193.0,0.0,4967.584407,42.09817294,47508.0,0.0,47508,47508,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,21.04908647,21.04908647,43,193,93.0,86.60254038,7500.0,0,0,0,0,0,0,0,0,1,139.5,43.0,193.0,32,0,0,0,0,0,0,1,43,1,193,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.16,52.84.217.72,20013,6,2026-05-11 09:02:36,53,31874,2,2,90,196,45,45,45.0,0.0,98,98,98.0,0.0,8972.83052,125.4941331,10624.66667,18398.99841,31870,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,62.74706657,62.74706657,45,98,66.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,82.75,45.0,98.0,64,0,0,0,0,0,0,2,90,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.17,114.114.114.114,20014,6,2026-05-11 09:02:48,63253,7820928,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,4.60303432,0.767172387,1564185.6,3481867.214,7792709,214,0,0.0,0.0,0,0,7795170,1948792.5,3895944.38,7792709,214,0,0,0,0,20,100,0.127862064,0.639310322,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28219.0,0.0,28219,28219,7792709.0,0.0,7792709,7792709,BENIGN
10.10.10.18,23.45.119.216,20015,6,2026-05-11 09:03:00,53,30429,1,1,47,108,47,47,47.0,0.0,108,108,108.0,0.0,5093.82497,65.7267738,30429.0,0.0,30429,30429,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.8633869,32.8633869,47,108,67.33333333,35.21836642,1240.333333,0,0,0,0,0,0,0,0,1,101.0,47.0,108.0,20,0,0,0,0,0,0,1,47,1,108,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.11,8.8.8.8,20016,6,2026-05-11 09:03:12,53,97631,2,2,64,108,32,32,32.0,0.0,54,54,54.0,0.0,1761.735514,40.97059336,32543.66667,56364.68608,97628,0,0,0.0,0.0,0,0,3,3.0,0.0,3,3,0,0,0,0,64,64,20.48529668,20.48529668,32,54,40.8,12.04989627,145.2,0,0,0,0,0,0,0,0,1,51.0,32.0,54.0,64,0,0,0,0,0,0,2,64,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.12,151.101.1.69,20017,6,2026-05-11 09:03:24,58811,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.13,61.135.169.121,20018,6,2026-05-11 09:03:36,443,354926,9,8,558,4551,197,0,62.0,81.84894624,1460,0,568.875,686.9292826,14394.54985,47.89730817,22182.875,34834.18351,115359,3,354926,44365.75,46273.92568,116938,3,238221,34031.57143,51756.58761,138380,4,0,0,0,0,192,172,25.35739844,22.53990973,0,1460,283.8333333,516.2157837,266478.7353,0,0,0,1,0,0,0,0,0,300.5294118,62.0,568.875,192,0,0,0,0,0,0,9,558,8,4551,8192,61,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.14,1.1.1.1,20019,6,2026-05-11 09:03:48,1999,47,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,340425.5319,85106.38298,15.66666667,24.54248018,44,1,2,2.0,0.0,2,2,1,1.0,0.0,1,1,0,0,0,0,48,40,42553.19149,42553.19149,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.15,104.16.132.229,20020,6,2026-05-11 09:04:00,9593,49,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.16,52.84.217.72,20021,6,2026-05-11 09:04:12,53,228,2,2,68,580,34,34,34.0,0.0,290,290,290.0,0.0,2842105.26315789,17543.8596491228,76.0,125.5746789763,221,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,8771.9298245614,8771.9298245614,34,290,136.4,140.2169747213,19660.8,0,0,0,0,0,0,0,0,1,170.5,34.0,290.0,40,0,0,0,0,0,0,2,68,2,580,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.17,114.114.114.114,20022,6,2026-05-11 09:04:24,53,23972,1,1,49,114,49,49,49.0,0.0,114,114,114.0,0.0,6799.599533,83.43066911,23972.0,0.0,23972,23972,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,41.71533456,41.71533456,49,114,70.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,106.0,49.0,114.0,20,0,0,0,0,0,0,1,49,1,114,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.18,23.45.119.216,20023,6,2026-05-11 09:04:36,80,29551286,7,5,430,644,400,0,61.42857143,149.3127112,638,0,128.8,284.6633099,36.34359601,0.406073698,2686480.545,4573339.015,10000000,149,29600000,4925214.333,5363927.638,10000000,183,20100000,5017249.25,5780060.442,10000000,249,0,0,0,0,152,136,0.236876324,0.169197374,0,638,82.61538462,199.6937399,39877.58974,0,0,0,1,0,0,0,0,0,89.5,61.42857143,128.8,152,0,0,0,0,0,0,7,430,5,644,8192,119,6,20,46348.0,42032.56346,94883,22039,9804080.667,299024.0313,10000000,9460047,BENIGN
10.10.10.11,8.8.8.8,20024,6,2026-05-11 09:04:48,46224,540,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3703.703704,540.0,0.0,540,540,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1851.851852,1851.851852,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.12,151.101.1.69,20025,6,2026-05-11 09:05:00,58167,8465,2,1,280,6,274,6,140.0,189.5046174,6,6,6.0,0.0,33786.17838,354.4004725,4232.5,5793.325858,8329,136,8465,8465.0,0.0,8465,8465,0,0.0,0.0,0,0,1,0,0,0,40,20,236.2669817,118.1334908,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,40,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.13,61.135.169.121,20026,6,2026-05-11 09:05:12,53,90838,1,1,40,210,40,40,40.0,0.0,210,210,210.0,0.0,2752.1521830071,22.0172174641,90838.0,0.0,90838,90838,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11.008608732,11.008608732,40,210,96.6666666667,98.1495457622,9633.3333333333,0,0,0,0,0,0,0,0,1,145.0,40.0,210.0,20,0,0,0,0,0,0,1,40,1,210,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.14,1.1.1.1,20027,6,2026-05-11 09:05:24,59329,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,11,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.15,104.16.132.229,20028,6,2026-05-11 09:05:36,53,418904,4,2,124,122,31,31,31.0,0.0,61,61,61.0,0.0,587.24672,14.32309073,83780.8,170260.0526,387371,3,31530,10510.0,18198.65784,31524,3,3,3.0,0.0,3,3,0,0,0,0,80,40,9.548727155,4.774363577,31,61,39.57142857,14.63850109,214.2857143,0,0,0,0,0,0,0,0,0,46.16666667,31.0,61.0,80,0,0,0,0,0,0,4,124,2,122,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.16,52.84.217.72,20029,6,2026-05-11 09:05:48,443,1594,3,0,65,0,53,6,21.66666667,27.13546265,0,0,0.0,0.0,40777.91719,1882.057716,797.0,1122.885569,1591,3,1594,797.0,1122.885569,1591,3,0,0.0,0.0,0,0,0,0,0,0,60,0,1882.057716,0.0,6,53,17.75,23.5,552.25,0,0,0,0,1,0,0,0,0,23.66666667,21.66666667,0.0,60,0,0,0,0,0,0,3,65,0,0,64860,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.17,114.114.114.114,20030,6,2026-05-11 09:06:00,53,48029,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,5746.528139,83.28301651,16009.66667,27724.35993,48023,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,41.64150826,41.64150826,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,40,0,0,0,0,0,0,2,88,2,188,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
10.10.10.18,23.45.119.216,20031,6,2026-05-11 09:06:12,443,118154511,43,68,1071,83190,234,0,24.90697674,51.80449234,2860,0,1223.382353,595.3423455,713.1424716,0.939447839,1074131.918,7836526.762,58800000,1,118000000,2813202.643,12600000.0,58800000,177,118000000,1759926.448,10000000.0,59000000,1,0,0,0,0,872,1372,0.363930244,0.575517595,0,2860,752.3303571,748.9779148,560967.9169,0,0,0,1,0,0,0,0,1,759.1081081,24.90697674,1223.382353,872,0,0,0,0,0,0,43,1071,68,83190,8192,360,42,20,561167.5,454678.8527,882674,239661,58400000.0,509362.9556,58800000,58000000,BENIGN
