node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
172.16.30.30,2026-05-10 09:00:00,213,176,175,0.8262910798122066,0.8188425898551941,0.9999997615814209,106,88,88,0.8301886792452831,107,88,87,0.822429906542056,7,5,22,0.5164319248826291,0.0,1.0,0.8344205048235571,0.8304769668802947,0.8666978353888566,suspected_compromised_host,Bot:57; Infiltration:31; PortScan:30
198.18.40.33,2026-05-10 09:00:00,29,24,24,0.8275862068965517,0.8275049328804016,0.999958336353302,14,11,11,0.7857142857142857,15,13,13,0.8666666666666667,1,1,10,0.5517241379310345,0.0,0.48333333333333334,0.6921710904284473,0.7155636690671627,0.7289410936470297,uncertain,Bot:10; Infiltration:5; PortScan:4
198.18.40.32,2026-05-10 09:00:00,29,24,24,0.8275862068965517,0.812673807144165,0.9999373555183411,14,11,11,0.7857142857142857,15,13,13,0.8666666666666667,1,1,11,0.5517241379310345,0.0,0.48333333333333334,0.6874286617680545,0.7186472408588116,0.7252333122129706,uncertain,Bot:9; Infiltration:6; PortScan:4
198.18.40.34,2026-05-10 09:00:00,29,23,23,0.7931034482758621,0.7896920442581177,0.9998666644096375,14,11,11,0.7857142857142857,15,12,12,0.8,1,1,9,0.3103448275862069,0.0,0.48333333333333334,0.6860810603543277,0.6963991634051006,0.7125913197673209,uncertain,Bot:9; Infiltration:5; PortScan:3
198.18.40.31,2026-05-10 09:00:00,31,24,24,0.7741935483870968,0.7527578473091125,0.9999560713768005,15,11,11,0.7333333333333333,16,13,13,0.8125,1,1,11,0.5161290322580645,0.0,0.5166666666666667,0.6693390998515215,0.7089018985247,0.6921948381713641,uncertain,Bot:9; Infiltration:6; PortScan:4
172.16.10.10,2026-05-10 09:00:00,155,140,138,0.9032258064516129,0.8930038213729858,0.9999997615814209,155,140,138,0.9032258064516129,0,0,0,0.0,4,0,53,0.535483870967742,0.0,1.0,0.8624502058171847,0.0,0.5288961166335691,suspected_attacker,DDoS:61; PortScan:48; DoS Hulk:17
10.40.20.21,2026-05-10 09:00:00,50,46,46,0.92,0.9127870798110962,0.999998927116394,0,0,0,0.0,50,46,46,0.92,0,2,0,0.56,0.0,0.8333333333333334,0.0,0.8281354301407718,0.5163634366194407,uncertain,DDoS:15; PortScan:11; Bot:6
10.40.20.22,2026-05-10 09:00:00,50,44,43,0.88,0.8745817542076111,0.999998927116394,0,0,0,0.0,50,44,43,0.88,0,2,0,0.52,0.0,0.8333333333333334,0.0,0.8122176932170411,0.4988121052185695,uncertain,DDoS:15; PortScan:11; Bot:5
10.40.20.23,2026-05-10 09:00:00,50,43,43,0.86,0.857175350189209,0.9999979138374329,0,0,0,0.0,50,43,43,0.86,0,2,0,0.6,0.0,0.8333333333333334,0.0,0.8030837446525116,0.490460504213969,uncertain,DDoS:15; PortScan:11; Bot:6
10.40.10.13,2026-05-10 11:00:00,144,29,26,0.2013888888888889,0.19349557161331177,0.9999724626541138,106,23,21,0.2169811320754717,38,6,5,0.15789473684210525,4,1,26,0.5277777777777778,0.0,1.0,0.58027325526402,0.5534501947227277,0.3860200917337373,uncertain,Bot:12; PortScan:5; DDoS:3
198.18.40.33,2026-05-10 11:00:00,150,29,24,0.19333333333333333,0.1827445775270462,0.9999724626541138,76,11,8,0.14473684210526316,74,18,16,0.24324324324324326,2,1,20,0.4866666666666667,0.0,1.0,0.5512583199300265,0.5796060188396557,0.37777386368000715,uncertain,Bot:11; PortScan:6; DDoS:4
10.40.10.11,2026-05-10 11:00:00,147,24,22,0.16326530612244897,0.1736871749162674,0.999707043170929,108,19,17,0.17592592592592593,39,5,5,0.1282051282051282,4,1,27,0.46258503401360546,0.0,1.0,0.5743290440579125,0.5359044296313555,0.36453639341509514,uncertain,Bot:4; DoS Slowhttptest:4; DDoS:4
198.18.40.31,2026-05-10 11:00:00,152,22,20,0.14473684210526316,0.1495787650346756,0.999707043170929,77,11,10,0.14285714285714285,75,11,10,0.14666666666666667,2,1,20,0.48026315789473684,0.0,1.0,0.5446001963104521,0.553691327492396,0.3591992025368644,uncertain,Bot:4; DDoS:4; DoS Slowhttptest:3
10.40.10.14,2026-05-10 11:00:00,144,19,17,0.13194444444444445,0.14406582713127136,0.9999359250068665,106,14,12,0.1320754716981132,38,5,5,0.13157894736842105,4,1,33,0.5069444444444444,0.0,1.0,0.538919329849429,0.5576254241717489,0.3518790298822331,uncertain,PortScan:6; Bot:4; SSH-Patator:4
10.40.10.12,2026-05-10 11:00:00,144,21,16,0.14583333333333334,0.14252449572086334,0.9999817609786987,106,15,13,0.14150943396226415,38,6,3,0.15789473684210525,4,1,24,0.3680555555555556,0.0,1.0,0.5578002641569547,0.4746377125643847,0.32600062078556175,uncertain,Bot:6; DDoS:4; Web Attack � XSS:3
198.18.40.34,2026-05-10 11:00:00,74,9,8,0.12162162162162163,0.14061743021011353,0.9999817609786987,0,0,0,0.0,74,9,8,0.12162162162162163,0,1,0,0.35135135135135137,0.0,1.0,0.0,0.5312040201715521,0.1844786818768527,uncertain,Bot:4; DDoS:2; Web Attack � XSS:1
198.18.40.32,2026-05-10 11:00:00,74,9,9,0.12162162162162163,0.13983052968978882,0.9999024271965027,0,0,0,0.0,74,9,9,0.12162162162162163,0,1,0,0.5405405405405406,0.0,1.0,0.0,0.5230743078945636,0.18428195674677153,uncertain,Bot:3; PortScan:3; DDoS:1
10.40.20.23,2026-05-10 11:00:00,43,8,7,0.18604651162790697,0.1839188039302826,0.9984062910079956,0,0,0,0.0,43,8,7,0.18604651162790697,0,4,0,0.4418604651162791,0.0,0.6270833333333333,0.0,0.5055084634328866,0.1615744199748187,uncertain,FTP-Patator:2; Bot:2; Web Attack � XSS:1
10.40.20.21,2026-05-10 11:00:00,43,9,6,0.20930232558139536,0.20204468071460724,0.9977462887763977,0,0,0,0.0,43,9,6,0.20930232558139536,0,4,0,0.5116279069767442,0.0,0.5375,0.0,0.497795348181281,0.15955913529493088,uncertain,DDoS:2; DoS Slowhttptest:2; Bot:2
10.40.20.22,2026-05-10 11:00:00,43,7,7,0.16279069767441862,0.16667768359184265,0.9999359250068665,0,0,0,0.0,43,7,7,0.16279069767441862,0,4,0,0.3953488372093023,0.0,0.6270833333333333,0.0,0.4909054520881322,0.15261297709951105,uncertain,PortScan:2; SSH-Patator:2; DDoS:1
10.40.20.23,2026-05-10 12:00:00,97,17,13,0.17525773195876287,0.15922077000141144,0.9999680519104004,63,10,9,0.15873015873015872,34,7,4,0.20588235294117646,3,8,16,0.4845360824742268,0.0,1.0,0.5695729313388703,0.6051198471994961,0.37247578651115304,uncertain,Bot:4; SSH-Patator:3; PortScan:3
10.40.10.13,2026-05-10 12:00:00,73,14,10,0.1917808219178082,0.16485381126403809,0.9885075688362122,15,7,5,0.4666666666666667,58,7,5,0.1206896551724138,3,3,8,0.4657534246575342,0.0,1.0,0.7061568913857141,0.5625290140817905,0.3657765137512953,uncertain,Bot:6; DDoS:4; PortScan:2
10.40.20.21,2026-05-10 12:00:00,146,21,17,0.14383561643835616,0.14142508804798126,0.9999680519104004,63,10,7,0.15873015873015872,83,11,10,0.13253012048192772,3,10,16,0.4863013698630137,0.0,1.0,0.585673323652101,0.5864434267957527,0.35388243144424486,uncertain,Bot:6; PortScan:5; DDoS:4
10.40.20.22,2026-05-10 12:00:00,122,14,13,0.11475409836065574,0.13687805831432343,0.9999488592147827,63,7,7,0.1111111111111111,59,7,6,0.11864406779661017,3,9,9,0.45081967213114754,0.0,1.0,0.5573495529473774,0.5881114996085732,0.3405036675840453,uncertain,Bot:4; DoS Hulk:2; PortScan:2
10.40.10.11,2026-05-10 12:00:00,74,13,12,0.17567567567567569,0.1811777651309967,0.9991254806518555,15,1,1,0.06666666666666667,59,12,11,0.2033898305084746,3,3,8,0.6081081081081081,0.0,1.0,0.40778669873873397,0.5880096396101274,0.2566795764178843,uncertain,Bot:3; SSH-Patator:3; DDoS:2
