node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
10.10.10.18,2026-05-11 09:00:00,63,15,13,0.23809523809523808,0.21866681539920638,0.99998444,44,10,9,0.22727272727272727,19,5,4,0.2631578947368421,2,1,16,0.42857142857142855,0.0,1.0,0.5903243834090909,0.5971632553947368,0.4204675696506674,uncertain,Bot:6; Web Attack � XSS:3; SSH-Patator:2
10.10.10.17,2026-05-11 09:00:00,64,14,13,0.21875,0.20681599663890626,0.99997187,45,8,8,0.17777777777777778,19,6,5,0.3157894736842105,2,1,12,0.40625,0.0,1.0,0.5623924420486112,0.6294496089736842,0.3987873324930599,uncertain,Bot:5; Web Attack � Sql Injection:2; Web Attack � XSS:2
104.16.132.229,2026-05-11 09:00:00,75,14,13,0.18666666666666668,0.18535197616786667,0.99995106,38,8,7,0.21052631578947367,37,6,6,0.16216216216216217,2,1,16,0.4,0.0,1.0,0.5903598170300752,0.5740925194481983,0.3823199760239486,uncertain,Bot:6; PortScan:2; DDoS:1
10.10.10.11,2026-05-11 09:00:00,65,11,8,0.16923076923076924,0.17667471521015382,0.9999577,46,7,4,0.15217391304347827,19,4,4,0.21052631578947367,2,1,9,0.5538461538461539,0.0,1.0,0.5810918627173913,0.5993872488157894,0.3736670065617358,uncertain,DDoS:2; PortScan:2; Web Attack � Sql Injection:2
114.114.114.114,2026-05-11 09:00:00,75,13,13,0.17333333333333334,0.16768406413234668,0.99997187,38,5,5,0.13157894736842105,37,8,8,0.21621621621621623,2,1,10,0.4666666666666667,0.0,1.0,0.5575755679473684,0.5777678174239865,0.3660613669102797,uncertain,Web Attack � XSS:3; DoS slowloris:2; Web Attack � Sql Injection:2
8.8.8.8,2026-05-11 09:00:00,76,11,9,0.14473684210526316,0.15903217712842102,0.9999577,38,5,5,0.13157894736842105,38,6,4,0.15789473684210525,2,1,12,0.5394736842105263,0.0,1.0,0.5769613599473684,0.5833801922368421,0.3581790969136842,uncertain,PortScan:2; Infiltration:2; Web Attack � Sql Injection:2
61.135.169.121,2026-05-11 09:00:00,76,13,12,0.17105263157894737,0.16187134853513158,0.9999758,38,9,8,0.23684210526315788,38,4,4,0.10526315789473684,2,1,13,0.5263157894736842,0.0,1.0,0.5876255074177632,0.5259317144078948,0.3562573108179934,uncertain,Bot:6; Web Attack � Sql Injection:2; SSH-Patator:1
10.10.10.14,2026-05-11 09:00:00,65,8,8,0.12307692307692308,0.11476092593584616,0.9999758,46,4,4,0.08695652173913043,19,4,4,0.21052631578947367,2,1,17,0.5692307692307692,0.0,1.0,0.5591411374456522,0.5780877594407895,0.3293925726210853,uncertain,Bot:6; SSH-Patator:1; PortScan:1
10.10.10.12,2026-05-11 09:00:00,65,9,8,0.13846153846153847,0.15106548075901538,0.955215,46,6,5,0.13043478260869565,19,3,3,0.15789473684210525,2,1,14,0.4461538461538462,0.0,1.0,0.5453542165434783,0.49776410140350874,0.32333911266467025,uncertain,PortScan:2; SSH-Patator:2; Bot:1
10.10.10.16,2026-05-11 09:00:00,63,11,10,0.1746031746031746,0.1708909259452381,0.9999342,44,9,8,0.20454545454545456,19,2,2,0.10526315789473684,2,1,16,0.5714285714285714,0.0,1.0,0.5897220971306818,0.4338059256578947,0.2967223137753655,uncertain,Web Attack � XSS:3; DDoS:2; DoS slowloris:2
10.10.10.13,2026-05-11 09:00:00,64,7,7,0.109375,0.10828001374359375,0.9737433,45,5,5,0.1111111111111111,19,2,2,0.10526315789473684,2,1,16,0.453125,0.0,0.875,0.5123297434444445,0.41516823190789476,0.24458645080431948,uncertain,Bot:5; DoS Hulk:1; Web Attack � Sql Injection:1
10.10.10.15,2026-05-11 09:00:00,63,8,8,0.12698412698412698,0.13612442265428576,0.9992074,44,7,7,0.1590909090909091,19,1,1,0.05263157894736842,2,1,12,0.4126984126984127,0.0,1.0,0.5742931054220779,0.3944946465789474,0.23146740474460736,uncertain,Bot:2; PortScan:1; SSH-Patator:1
52.84.217.72,2026-05-11 09:00:00,37,8,7,0.21621621621621623,0.21308445935837836,0.9999342,0,0,0,0.0,37,8,7,0.21621621621621623,0,1,0,0.5945945945945946,0.0,0.5395833333333333,0.0,0.4675064933912484,0.1639622747495045,uncertain,Web Attack � XSS:3; DDoS:1; DoS Slowhttptest:1
23.45.119.216,2026-05-11 09:00:00,37,8,7,0.21621621621621623,0.2011968092045946,0.99998444,0,0,0,0.0,37,8,7,0.21621621621621623,0,1,0,0.3783783783783784,0.0,0.5395833333333333,0.0,0.46229664946267696,0.16099036221105856,uncertain,Bot:3; SSH-Patator:2; Web Attack � XSS:1
151.101.1.69,2026-05-11 09:00:00,38,6,5,0.15789473684210525,0.17750223528605263,0.955215,0,0,0,0.0,38,6,5,0.15789473684210525,0,1,0,0.4473684210526316,0.0,0.3958333333333333,0.0,0.4052965315701755,0.12543367285660087,uncertain,PortScan:2; Bot:1; DoS Hulk:1
10.10.20.22,2026-05-11 09:00:00,15,3,3,0.2,0.19030057136599995,0.9474168,0,0,0,0.0,15,3,3,0.2,0,2,0,0.4666666666666667,0.0,0.09375,0.0,0.392394175,0.0963642053415,uncertain,Bot:2; Web Attack � XSS:1
1.1.1.1,2026-05-11 09:00:00,38,3,3,0.07894736842105263,0.0723809825336842,0.96200836,0,0,0,0.0,38,3,3,0.07894736842105263,0,1,0,0.5263157894736842,0.0,0.2375,0.0,0.33321796070175436,0.05615034431763158,uncertain,Bot:3
10.10.20.21,2026-05-11 09:00:00,15,2,1,0.13333333333333333,0.10232326833866665,0.67692506,0,0,0,0.0,15,2,1,0.13333333333333333,0,2,0,0.6,0.0,0.03125,0.0,0.32451772333333334,0.053224046251333326,uncertain,DDoS:2
10.10.20.24,2026-05-11 09:00:00,15,1,1,0.06666666666666667,0.06986030339800002,0.96144843,0,0,0,0.0,15,1,1,0.06666666666666667,0,2,0,0.4666666666666667,0.0,0.03125,0.0,0.3689818991666667,0.03177497168283334,uncertain,DoS slowloris:1
10.10.20.23,2026-05-11 09:00:00,15,1,1,0.06666666666666667,0.06127277245066666,0.84148276,0,0,0,0.0,15,1,1,0.06666666666666667,0,2,0,0.26666666666666666,0.0,0.03125,0.0,0.3389904816666667,0.029628088945999997,uncertain,Bot:1
10.10.10.15,2026-05-11 10:00:00,109,25,22,0.22935779816513763,0.2342688296574312,0.999977,53,11,10,0.20754716981132076,56,14,12,0.25,2,2,20,0.45871559633027525,0.0,1.0,0.5871088201745284,0.5866364504166667,0.4167029179907815,uncertain,Bot:15; PortScan:3; Web Attack � Sql Injection:2
10.10.20.23,2026-05-11 10:00:00,120,28,25,0.23333333333333334,0.2273713063541667,0.9999758,60,16,14,0.26666666666666666,60,12,11,0.2,2,2,23,0.525,0.0,1.0,0.5966014757738095,0.5725550577272728,0.41350949325520836,uncertain,Bot:16; PortScan:5; SSH-Patator:2
10.10.10.13,2026-05-11 10:00:00,108,18,17,0.16666666666666666,0.19302215300703698,0.99997693,52,8,7,0.15384615384615385,56,10,10,0.17857142857142858,2,2,16,0.5555555555555556,0.0,1.0,0.5674826826098901,0.5752575889285715,0.37774271773893875,uncertain,Bot:6; PortScan:4; DoS Hulk:3
10.10.10.17,2026-05-11 10:00:00,109,18,16,0.1651376146788991,0.1543067484214679,0.99826497,53,9,9,0.16981132075471697,56,9,7,0.16071428571428573,2,2,16,0.48623853211009177,0.0,1.0,0.552954960524109,0.5643117107142857,0.3698184957554325,uncertain,Bot:7; Web Attack � XSS:2; DoS slowloris:2
10.10.20.22,2026-05-11 10:00:00,150,24,23,0.16,0.17629627686403335,0.99997693,60,11,11,0.18333333333333332,90,13,12,0.14444444444444443,2,4,23,0.5333333333333333,0.0,1.0,0.5686721892424242,0.5579612894444445,0.3694074025493417,uncertain,Bot:12; PortScan:4; Web Attack � Sql Injection:3
10.10.10.18,2026-05-11 10:00:00,64,13,12,0.203125,0.20536510370625,0.99995124,53,10,9,0.18867924528301888,11,3,3,0.2727272727272727,2,1,17,0.4375,0.0,1.0,0.5674308936687631,0.5752231399242425,0.3673200495114681,uncertain,Web Attack � Sql Injection:4; PortScan:2; Bot:2
10.10.20.24,2026-05-11 10:00:00,150,26,22,0.17333333333333334,0.17055027539103335,0.999879,60,8,7,0.13333333333333333,90,18,15,0.2,2,4,18,0.5066666666666667,0.0,1.0,0.555051206904762,0.5865486556666667,0.36730423551442504,uncertain,Bot:14; DDoS:3; Web Attack � XSS:3
10.10.20.21,2026-05-11 10:00:00,120,20,17,0.16666666666666666,0.158819193222875,0.9999716,60,6,6,0.1,60,14,11,0.23333333333333334,2,2,20,0.4583333333333333,0.0,1.0,0.531001025,0.5821715201515152,0.35303813163905207,uncertain,Bot:10; DDoS:3; PortScan:2
10.10.10.11,2026-05-11 10:00:00,108,16,14,0.14814814814814814,0.14108674576194444,0.9979998,52,11,9,0.21153846153846154,56,5,5,0.08928571428571429,2,2,13,0.42592592592592593,0.0,1.0,0.576828707948718,0.5280632912142857,0.34168703035583003,uncertain,Bot:10; Web Attack � Sql Injection:2; DDoS:2
10.10.10.14,2026-05-11 10:00:00,63,10,8,0.15873015873015872,0.18359677107723807,0.9878983,52,6,5,0.11538461538461539,11,4,3,0.36363636363636365,2,1,15,0.49206349206349204,0.0,1.0,0.5684055126538462,0.6039497862878789,0.3310106091307259,uncertain,Bot:5; Web Attack � XSS:2; DoS Slowhttptest:2
10.10.10.16,2026-05-11 10:00:00,64,13,10,0.203125,0.20508916351898437,0.99793893,53,9,8,0.16981132075471697,11,4,2,0.36363636363636365,2,1,17,0.453125,0.0,1.0,0.5686110526768868,0.5433613829545454,0.33034068710616116,uncertain,Bot:7; SSH-Patator:1; PortScan:1
8.8.8.8,2026-05-11 10:00:00,44,8,7,0.18181818181818182,0.1960463437765909,0.9962436,22,4,3,0.18181818181818182,22,4,4,0.18181818181818182,2,1,8,0.5,0.0,0.6416666666666666,0.46091529439393936,0.4904212125189394,0.28028526018657196,uncertain,Bot:5; DoS Slowhttptest:1; Web Attack � Sql Injection:1
104.16.132.229,2026-05-11 10:00:00,45,8,7,0.17777777777777778,0.18866275177866668,0.999977,22,4,3,0.18181818181818182,23,4,4,0.17391304347826086,2,1,5,0.4222222222222222,0.0,0.65625,0.500978656060606,0.4997502886413044,0.2784498440437005,uncertain,Web Attack � XSS:2; Web Attack � Sql Injection:2; Bot:2
61.135.169.121,2026-05-11 10:00:00,44,9,8,0.20454545454545456,0.20391050578036365,0.99994147,22,7,6,0.3181818181818182,22,2,2,0.09090909090909091,2,1,9,0.4090909090909091,0.0,0.7333333333333333,0.5854197964393939,0.38909989553030305,0.2566594446269091,uncertain,PortScan:2; Web Attack � Sql Injection:2; Bot:2
10.10.10.12,2026-05-11 10:00:00,63,10,7,0.15873015873015872,0.16380036781936508,0.999879,52,8,6,0.15384615384615385,11,2,1,0.18181818181818182,2,1,15,0.49206349206349204,0.0,0.875,0.5560558061217948,0.4768394102272727,0.2555687198547192,uncertain,Bot:4; SSH-Patator:2; PortScan:2
114.114.114.114,2026-05-11 10:00:00,45,9,6,0.2,0.17709666867555554,0.99826497,22,6,3,0.2727272727272727,23,3,3,0.13043478260869565,2,1,9,0.35555555555555557,0.0,0.5625,0.5129724299242424,0.39652220221014495,0.22887335195149758,uncertain,Bot:4; Web Attack � Sql Injection:1; PortScan:1
52.84.217.72,2026-05-11 10:00:00,23,4,3,0.17391304347826086,0.19613073924739127,0.99793893,0,0,0,0.0,23,4,3,0.17391304347826086,0,1,0,0.5217391304347826,0.0,0.14375000000000002,0.0,0.35657395072463766,0.0972918560075,uncertain,Bot:2; SSH-Patator:1
1.1.1.1,2026-05-11 10:00:00,22,3,3,0.13636363636363635,0.20998713114318182,0.9878983,0,0,0,0.0,22,3,3,0.13636363636363635,0,1,0,0.4090909090909091,0.0,0.13749999999999998,0.0,0.3514863270454545,0.09266013505852273,uncertain,Bot:3; Web Attack � XSS:1
23.45.119.216,2026-05-11 10:00:00,23,4,3,0.17391304347826086,0.1651405435247826,0.99807185,0,0,0,0.0,23,4,3,0.17391304347826086,0,1,0,0.43478260869565216,0.0,0.14375000000000002,0.0,0.3691975048913044,0.08954430707684782,uncertain,Web Attack � XSS:1; DDoS:1; DoS Hulk:1
151.101.1.69,2026-05-11 10:00:00,22,2,2,0.09090909090909091,0.10635765184363638,0.99846846,0,0,0,0.0,22,2,2,0.09090909090909091,0,1,0,0.45454545454545453,0.0,0.09166666666666666,0.0,0.3388738271969697,0.05050039780939395,uncertain,Bot:2
10.10.20.22,2026-05-11 11:00:00,75,13,11,0.17333333333333334,0.18647473619413332,0.99988735,15,4,4,0.26666666666666666,60,9,7,0.15,1,4,7,0.4,0.0,1.0,0.6170329691666667,0.6000986467857143,0.3762853507152,uncertain,Bot:5; PortScan:2; Web Attack � XSS:2
10.10.20.24,2026-05-11 11:00:00,75,10,9,0.13333333333333333,0.151865513886,0.99893904,15,1,1,0.06666666666666667,60,9,8,0.15,1,4,6,0.4,0.0,1.0,0.42535828166666667,0.578160243125,0.24088304513816666,uncertain,Bot:5; DDoS:1; PortScan:1
10.10.20.23,2026-05-11 11:00:00,45,7,5,0.15555555555555556,0.12805101052244444,0.97621113,15,3,2,0.2,30,4,3,0.13333333333333333,1,2,4,0.4666666666666667,0.0,0.46875,0.4233083875,0.408674765,0.17636605124172222,uncertain,Bot:3; DDoS:1; Web Attack � Sql Injection:1
10.10.20.21,2026-05-11 11:00:00,45,6,4,0.13333333333333333,0.14292744021031112,0.9856193,15,3,2,0.2,30,3,2,0.1,1,2,5,0.3333333333333333,0.0,0.375,0.4100426375,0.40014889249999996,0.13927352671924445,uncertain,Bot:3; DDoS:1; Heartbleed:1
1.1.1.1,2026-05-11 11:00:00,15,4,3,0.26666666666666666,0.23145012027866668,0.99988735,15,4,3,0.26666666666666666,0,0,0,0.0,1,0,6,0.4666666666666667,0.0,0.09375,0.3877895333333333,0.0,0.119984925903,uncertain,Bot:1; DDoS:1; Web Attack � XSS:1
61.135.169.121,2026-05-11 11:00:00,15,3,2,0.2,0.15415238924933336,0.97621113,15,3,2,0.2,0,0,0,0.0,1,0,8,0.4,0.0,0.0625,0.3430519975,0.0,0.08244434731233335,uncertain,Web Attack � Sql Injection:1
104.16.132.229,2026-05-11 11:00:00,15,2,1,0.13333333333333333,0.14239849244733335,0.96646124,15,2,1,0.13333333333333333,0,0,0,0.0,1,0,8,0.26666666666666666,0.0,0.03125,0.39690176833333335,0.0,0.0632428522785,uncertain,Bot:1; SSH-Patator:1
52.84.217.72,2026-05-11 11:00:00,15,2,2,0.13333333333333333,0.12290549269733335,0.9837017,15,2,2,0.13333333333333333,0,0,0,0.0,1,0,6,0.4,0.0,0.0625,0.3283395633333333,0.0,0.061299289841000006,uncertain,Bot:1
23.45.119.216,2026-05-11 11:00:00,15,1,1,0.06666666666666667,0.13036109696266668,0.95011765,15,1,1,0.06666666666666667,0,0,0,0.0,1,0,8,0.3333333333333333,0.0,0.03125,0.36614920416666663,0.0,0.046900170074000005,uncertain,Bot:1
8.8.8.8,2026-05-11 11:00:00,15,1,1,0.06666666666666667,0.09343840393493336,0.7397299,15,1,1,0.06666666666666667,0,0,0,0.0,1,0,5,0.26666666666666666,0.0,0.03125,0.3135522666666667,0.0,0.037669496817066675,uncertain,Bot:1
114.114.114.114,2026-05-11 11:00:00,15,1,1,0.06666666666666667,0.06330807420733332,0.7674937,15,1,1,0.06666666666666667,0,0,0,0.0,1,0,8,0.6,0.0,0.03125,0.32049321666666664,0.0,0.030136914385166663,uncertain,Bot:1
151.101.1.69,2026-05-11 11:00:00,15,0,0,0.0,0.09211246914133332,0.54266346,15,0,0,0.0,0,0,0,0.0,1,0,9,0.4666666666666667,0.0,0.0,0.0,0.0,0.02302811728533333,uncertain,BENIGN
