node_id,window_start,total_flows,total_anomalous_flows,high_conf_anomalous_flows,anomaly_ratio,avg_anomaly_score,max_anomaly_score,outbound_flows,outbound_anomalous_flows,outbound_high_conf_anomalous_flows,outbound_anomaly_ratio,inbound_flows,inbound_anomalous_flows,inbound_high_conf_anomalous_flows,inbound_anomaly_ratio,outbound_unique_targets,inbound_unique_sources,outbound_unique_target_ports,small_flow_ratio,single_packet_ratio,role_evidence_support,attacker_score,victim_score,compromised_score,node_role,top_predicted_labels
172.16.50.50,2026-05-10 15:00:00,180,139,135,0.7722222222222223,0.7577271009583332,0.9999653,110,87,85,0.7909090909090909,70,52,50,0.7428571428571429,8,8,21,0.48333333333333334,0.0,1.0,0.8203903987459893,0.8082089543428572,0.8167333625411707,suspected_compromised_host,Bot:45; Infiltration:36; FTP-Patator:20
203.119.144.80,2026-05-10 15:00:00,21,17,17,0.8095238095238095,0.7979346124776191,0.9999273,8,6,6,0.75,13,11,11,0.8461538461538461,1,1,5,0.5714285714285714,0.0,0.35,0.6530202016666667,0.6771492416433567,0.6738884150241665,uncertain,Bot:6; Infiltration:4; SSH-Patator:3
23.45.119.216,2026-05-10 15:00:00,42,26,24,0.6190476190476191,0.5933100119459525,0.99997056,18,10,10,0.5555555555555556,24,16,14,0.6666666666666666,5,5,12,0.47619047619047616,0.0,0.7,0.6691818822222222,0.7078324250595238,0.6138036934626786,uncertain,Bot:8; FTP-Patator:6; Infiltration:5
61.135.169.121,2026-05-10 15:00:00,42,24,23,0.5714285714285714,0.5569943362861904,0.9999879,18,9,9,0.5,24,15,14,0.625,5,5,8,0.40476190476190477,0.0,0.7,0.6565748436111112,0.6907102358928572,0.5785342983572619,uncertain,Bot:7; Infiltration:6; PortScan:5
8.8.8.8,2026-05-10 15:00:00,45,23,23,0.5111111111111111,0.5020378228724444,0.9999295,17,8,8,0.47058823529411764,28,15,15,0.5357142857142857,4,5,11,0.5333333333333333,0.0,0.75,0.638615688492647,0.6662851567857143,0.5564081485285686,uncertain,Bot:8; Infiltration:6; PortScan:4
52.84.217.72,2026-05-10 15:00:00,43,21,21,0.4883720930232558,0.497045845217814,0.9999509,19,8,8,0.42105263157894735,24,13,13,0.5416666666666666,5,5,11,0.5581395348837209,0.0,0.7166666666666667,0.6130813280482457,0.6612794231410257,0.5274183360494555,uncertain,Bot:7; FTP-Patator:4; Infiltration:3
151.101.1.69,2026-05-10 15:00:00,42,21,19,0.5,0.49408901434071434,0.9999587,17,7,7,0.4117647058823529,25,14,12,0.56,4,5,11,0.47619047619047616,0.0,0.7,0.6158921987815127,0.6542603733333333,0.5220516653498845,uncertain,Infiltration:5; Bot:5; SSH-Patator:3
104.16.132.229,2026-05-10 15:00:00,42,20,19,0.47619047619047616,0.4628536114095238,0.9999653,18,8,7,0.4444444444444444,24,12,12,0.5,5,5,12,0.42857142857142855,0.0,0.7,0.6187050617063492,0.6344011647916666,0.5192848314238095,uncertain,Bot:6; Infiltration:5; SSH-Patator:4
114.114.114.114,2026-05-10 15:00:00,40,16,14,0.4,0.40772608865800003,0.9999043,16,6,5,0.375,24,10,9,0.4166666666666667,4,5,11,0.6,0.0,0.6666666666666666,0.5831587736666667,0.5979581333333333,0.46109818883116666,uncertain,Bot:6; FTP-Patator:3; SSH-Patator:3
172.16.50.61,2026-05-10 15:00:00,50,10,10,0.2,0.21359480967472,0.99997056,26,5,5,0.19230769230769232,24,5,5,0.20833333333333334,8,8,12,0.52,0.0,0.8333333333333334,0.6143655777564102,0.6000577661666667,0.35942434344432106,uncertain,PortScan:4; Bot:3; Web Attack � XSS:2
